timestamp,cur_x,cur_y,cur_z,thrust
0.0008475780487060547,0.9653684496879578,0.10136742889881134,0.9558295011520386,55000
0.002643108367919922,0.9652935862541199,0.10143457353115082,0.9558568596839905,55000
0.00544285774230957,0.9652520418167114,0.10134407877922058,0.9558890461921692,55000
0.008150577545166016,0.9652775526046753,0.10132653266191483,0.9558471441268921,55000
0.012618064880371094,0.9652859568595886,0.1014346033334732,0.9558334350585938,55000
0.01558828353881836,0.9652191400527954,0.10133253037929535,0.9558950662612915,55000
0.018376827239990234,0.9652329683303833,0.10126810520887375,0.9558523297309875,55000
0.02125406265258789,0.9652872681617737,0.10141856223344803,0.955865740776062,55000
0.02533864974975586,0.9653714895248413,0.10141129791736603,0.9558600187301636,55000
0.027735471725463867,0.9652443528175354,0.10137481242418289,0.955871045589447,55000
0.029760122299194336,0.9651915431022644,0.1013265922665596,0.9559371471405029,55000
0.0377049446105957,0.9651463627815247,0.101132832467556,0.9558722376823425,55000
0.04220438003540039,0.9652684330940247,0.10132138431072235,0.9558543562889099,55000
0.04452109336853027,0.9652812480926514,0.10156677663326263,0.9557013511657715,55000
0.050603628158569336,0.965214729309082,0.10148170590400696,0.9558371901512146,55000
0.058431386947631836,0.9651265144348145,0.10153213888406754,0.9558963179588318,55000
0.06850600242614746,0.9650145173072815,0.10113383084535599,0.9558442234992981,55000
0.07837820053100586,0.9650933742523193,0.10158540308475494,0.9557840824127197,55000
0.08844494819641113,0.9654263854026794,0.10156522691249847,0.9556760787963867,55000
0.09845709800720215,0.9654502868652344,0.10147277265787125,0.9556376338005066,55000
0.10827088356018066,0.9653788208961487,0.10159019380807877,0.9558046460151672,55000
0.11965656280517578,0.9653970003128052,0.1013510525226593,0.9557353854179382,55000
0.1282825469970703,0.9647728204727173,0.101125568151474,0.9559282660484314,55000
0.13810396194458008,0.964695930480957,0.10113484412431717,0.9558677077293396,55000
0.1482257843017578,0.9648839831352234,0.10137062519788742,0.955734133720398,55000
0.1585369110107422,0.9650542140007019,0.1017182320356369,0.9558276534080505,55000
0.16872835159301758,0.9648346304893494,0.1016964316368103,0.9558111429214478,55000
0.17871403694152832,0.9646432399749756,0.10156591236591339,0.9558861255645752,55000
0.18862318992614746,0.9644393920898438,0.10164134949445724,0.9558885097503662,55000
0.19904661178588867,0.9643466472625732,0.10161460191011429,0.9559357762336731,55000
0.20837855339050293,0.9646857976913452,0.10152391344308853,0.9560500383377075,55000
0.21851062774658203,0.9648169875144958,0.10240761190652847,0.9559187293052673,55000
0.22848033905029297,0.9653231501579285,0.10329296439886093,0.95614093542099,55000
0.23851466178894043,0.9653640985488892,0.1052464097738266,0.9560365676879883,55000
0.24820160865783691,0.9650230407714844,0.10617801547050476,0.9564864039421082,55000
0.25811028480529785,0.9647684693336487,0.10756362974643707,0.9565843939781189,55000
0.26828622817993164,0.9651378989219666,0.10925732553005219,0.9564346075057983,55000
0.2781813144683838,0.9654558897018433,0.11140574514865875,0.9566928744316101,55000
0.28850531578063965,0.9654046893119812,0.11449750512838364,0.9570779800415039,55000
0.29860472679138184,0.9658504724502563,0.11698251217603683,0.9574901461601257,55000
0.3089134693145752,0.9660517573356628,0.12004522234201431,0.9578909277915955,55000
0.31874680519104004,0.9657076001167297,0.1228075623512268,0.9584400653839111,55000
0.3283882141113281,0.9655410647392273,0.1263086497783661,0.9588817954063416,55000
0.338900089263916,0.9659214615821838,0.13082191348075867,0.9589088559150696,54312
0.3486499786376953,0.9662818312644958,0.13419611752033234,0.9600017666816711,55000
0.3590419292449951,0.9671096205711365,0.13920140266418457,0.9603735208511353,53751
0.36855387687683105,0.9671912789344788,0.14418895542621613,0.9606682062149048,53721
0.3787240982055664,0.9678485989570618,0.14841653406620026,0.9618853330612183,54446
0.3888816833496094,0.9679690003395081,0.15300656855106354,0.9623335599899292,54042
0.39879345893859863,0.9686707854270935,0.15825912356376648,0.9628681540489197,53328
0.40871477127075195,0.9693222641944885,0.1634131371974945,0.9638874530792236,53377
0.41844940185546875,0.9702972173690796,0.169746994972229,0.9645065069198608,52129
0.4286072254180908,0.9710001945495605,0.17470011115074158,0.9657794833183289,53462
0.438709020614624,0.9719419479370117,0.18110737204551697,0.9666417241096497,51939
0.4484391212463379,0.9729870557785034,0.18636272847652435,0.9679173231124878,53038
0.4589211940765381,0.9731000661849976,0.19270892441272736,0.9693946838378906,51879
0.46873927116394043,0.9741817116737366,0.1984167993068695,0.9702385067939758,52457
0.47893834114074707,0.9748376607894897,0.205453559756279,0.9713273644447327,51049
0.48892998695373535,0.9758585095405579,0.2120981365442276,0.9728162884712219,51367
0.4988093376159668,0.9767788648605347,0.21844591200351715,0.9743833541870117,51594
0.509119987487793,0.9783161878585815,0.22523845732212067,0.9751896858215332,51073
0.518632173538208,0.9789124131202698,0.23180589079856873,0.9767919778823853,51225
0.5288188457489014,0.9797965884208679,0.23902961611747742,0.9780627489089966,50485
0.5388412475585938,0.9809845685958862,0.24556800723075867,0.9795509576797485,51097
0.548823356628418,0.9822955131530762,0.25263991951942444,0.9807814955711365,50481
0.558690071105957,0.9837951064109802,0.2598126530647278,0.9823136329650879,50297
0.5687413215637207,0.9851797819137573,0.2676413059234619,0.9836059808731079,49548
0.5786535739898682,0.986609697341919,0.27446249127388,0.985056459903717,50477
0.588695764541626,0.9878289103507996,0.28172585368156433,0.9864391088485718,49949
0.5987634658813477,0.9892904162406921,0.28892984986305237,0.9878044128417969,49923
0.6086752414703369,0.9909480214118958,0.29682430624961853,0.9890131950378418,49138
0.6189093589782715,0.9924517869949341,0.304602712392807,0.9904963374137878,49160
0.6288185119628906,0.9942020773887634,0.31254398822784424,0.9918763637542725,48900
0.638556957244873,0.995699942111969,0.3204144835472107,0.9932039976119995,48875
0.6487767696380615,0.9971224069595337,0.3280510902404785,0.9947540760040283,49016
0.6589605808258057,0.9985858201980591,0.3356512188911438,0.9962541460990906,48961
0.6688051223754883,1.00001060962677,0.34380993247032166,0.997494101524353,48301
0.6786623001098633,1.0018870830535889,0.3517126441001892,0.9988622069358826,48460
