Timestamp,Cur_CF1_X,Cur_CF1_Y,Cur_CF1_Z,Cur_CF2_X,Cur_CF2_Y,Cur_CF2_Z,Cur_Cluster_X,Cur_Cluster_Y,Cur_Cluster_Z,Cur_Alpha,Cur_Beta,Cur_Phi1,Cur_Phi2,Cur_P,Des_Cluster_X,Des_Cluster_Y,Des_Cluster_Z,Des_Alpha,Des_Beta,Des_Phi1,Des_Phi2,Des_P,Des_CF1_X,Des_CF1_Y,Des_CF1_Z,Safe_CF1_X,Safe_CF1_Y,Safe_CF1_Z,Des_CF2_X,Des_CF2_Y,Des_CF2_Z,Safe_CF2_X,Safe_CF2_Y,Safe_CF2_Z
2025-05-07 15:33:43.212317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0,0,0.0,1.0,1.0,1.5,0.0,0.0,0.0,0.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0
2025-05-07 15:33:43.315916,1.0075583457946777,0.08607552200555801,1.0104780197143555,1.0005184412002563,0.1003940999507904,2.0054965019226074,1.004038393497467,0.09323481097817421,1.5079872608184814,0.00707503152613238,-0.014388910026959975,0,0,0.995146402227876,1.0,1.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0071428283142503,0.3419644605173616,1.0092221458405706,0.0,0.0,0.0,0.9986724583221022,0.35229366729120926,2.0022795097380426,0.0,0.0,0.0
2025-05-07 15:33:43.416253,1.007755160331726,0.08635099977254868,1.0104327201843262,1.0006248950958252,0.10043737292289734,2.0053789615631104,1.0042059421539307,0.09339485689997673,1.507912516593933,0.007134275577225094,-0.014157775443929498,0,0,0.9950846410404477,1.0,1.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0073005726007709,0.3421628457068592,1.0092058716380294,0.0,0.0,0.0,0.9987559841008893,0.35232574822910734,2.0021881522572342,0.0,0.0,0.0
2025-05-07 15:33:43.516769,1.0077135562896729,0.08632311224937439,1.010404109954834,1.0006484985351562,0.10035058110952377,2.0054333209991455,1.004123568534851,0.09329882264137268,1.507938027381897,0.007215438641568426,-0.014019289066742324,0,0,0.9951915344050558,1.0,1.0,1.5,0.0,0.0,0.0,0.0,1.0,1.00726669328966,0.3421430755884596,1.0091815870331602,0.0,0.0,0.0,0.9986712454005255,0.35220722901511714,2.0022491723967715,0.0,0.0,0.0
2025-05-07 15:33:43.625412,1.007428765296936,0.0858442410826683,1.0105317831039429,1.0004119873046875,0.10031159222126007,2.005465030670166,1.0039628744125366,0.09313519299030304,1.5080021619796753,0.0071378730476939194,-0.014424631750410383,0,0,0.9950546019811117,1.0,1.0,1.5,0.0,0.0,0.0,0.0,1.0,1.0071325035609058,0.34188020551006765,1.0092877711608406,0.0,0.0,0.0,0.998574035593147,0.3522344723959688,2.0022353420898917,0.0,0.0,0.0
2025-05-07 15:33:43.725737,1.0077314376831055,0.08654481172561646,1.0104597806930542,1.0006343126296997,0.1004573181271553,2.0054771900177,1.0041635632514954,0.09341607987880707,1.5079524517059326,0.007093499388476088,-0.01415123820495883,0,0,0.9951741553682235,1.0,1.0,1.5,0.0,0.0,0.0,0.0,1.0,1.007237458619198,0.3421801938508058,1.0091842106327213,0.0,0.0,0.0,0.9987580724629553,0.35233896117467645,2.0022673198238214,0.0,0.0,0.0
2025-05-07 15:33:43.826108,1.0061396360397339,0.08676683902740479,1.0121444463729858,0.9986154437065125,0.0990457534790039,2.0054590702056885,1.0025297105312347,0.09277322888374329,1.5086186528205872,0.007878155052087514,-0.012623765167056962,0,0,0.9937908560597143,1.0,1.0,1.5,0.0,0.0,0.0,0.0,1.0,1.006635647255919,0.34226944049497476,1.0104539623084188,0.0,0.0,0.0,0.997007135909059,0.35132400909761563,2.0019568977532267,0.0,0.0,0.0
2025-05-07 15:33:43.926148,0.9985668659210205,0.09699250012636185,1.0184322595596313,0.9987819194793701,0.09922447800636292,2.0054147243499756,0.9991885125637054,0.09726029634475708,1.5116443037986755,0.0008234454222326001,-0.003977902591397796,0,0,0.9875489892434577,1.0,1.0,1.5,0.0,0.0,0.0,0.0,1.0,1.001567730729489,0.3486062656421797,1.0147258870497775,0.0,0.0,0.0,0.9972637273622468,0.35144856109427053,2.0020419104203153,0.0,0.0,0.0
2025-05-07 15:33:44.027453,0.9816395044326782,0.11612342298030853,1.029138445854187,0.9985324740409851,0.0989784523844719,2.005380630493164,0.990139365196228,0.10760612413287163,1.5172608494758606,-0.017411619977055058,0.017444689840268982,0,0,0.9765413927326507,1.0,1.0,1.5,0.0,0.0,0.0,0.0,1.0,0.9877667252778156,0.3636663954991747,1.0219835835752755,0.0,0.0,0.0,0.9980339606047527,0.3512864232521606,2.0028720396699637,0.0,0.0,0.0
2025-05-07 15:33:44.129240,0.9554737210273743,0.14488627016544342,1.0451550483703613,0.9987813234329224,0.0993860587477684,2.0054328441619873,0.9771275222301483,0.12213616445660591,1.5252939462661743,-0.045068496774236244,0.04729892606900702,0,0,0.9623301215048783,1.0,1.0,1.5,0.0,0.0,0.0,0.0,1.0,0.9677147934062839,0.38457221681969833,1.0322646943018443,0.0,0.0,0.0,0.9993488386051298,0.35130385999781427,2.0041585883214466,0.0,0.0,0.0
