Timestamp,Cur_CF1_X,Cur_CF1_Y,Cur_CF1_Z,Cur_CF2_X,Cur_CF2_Y,Cur_CF2_Z,Cur_Cluster_X,Cur_Cluster_Y,Cur_Cluster_Z,Cur_Alpha,Cur_Beta,Cur_Phi1,Cur_Phi2,Cur_P,Des_Cluster_X,Des_Cluster_Y,Des_Cluster_Z,Des_Alpha,Des_Beta,Des_Phi1,Des_Phi2,Des_P,Des_CF1_X,Des_CF1_Y,Des_CF1_Z,Des_CF2_X,Des_CF2_Y,Des_CF2_Z
2025-05-06 13:27:49.839168,1.9881348609924316,0.7194893956184387,0.9960708618164062,1.045651912689209,0.7676648497581482,0.98908931016922,1.5168933868408203,0.7435771226882935,0.9925800859928131,0,0,0,0,0.9437392247264625,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.992629661310811,0.8220585465431214,0.999038827419281,1.0276424028981734,0.8702340006828309,0.9920572757720947
2025-05-06 13:27:49.939615,1.9880824089050293,0.7194768190383911,0.9960413575172424,1.0463156700134277,0.7684418559074402,0.9886761903762817,1.5171990394592285,0.7439593374729156,0.9923587739467621,0,0,0,0,0.9430675537866434,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9925892823640092,0.8218930840492249,0.9990978479385376,1.028049564987065,0.870858120918274,0.9917326807975769
2025-05-06 13:27:50.039738,1.9881000518798828,0.7193946838378906,0.996077835559845,1.0456093549728394,0.7675500512123108,0.989105761051178,1.516854703426361,0.7434723675251007,0.9925917983055115,0,0,0,0,0.9437458677982353,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9926089969496914,0.8220057368278504,0.9990411162376404,1.027616647161942,0.8701611042022706,0.9920690417289734
2025-05-06 13:27:50.140457,1.9881131649017334,0.7194702625274658,0.9960372447967529,1.0463428497314453,0.7684959769248962,0.9886887073516846,1.5172280073165894,0.743983119726181,0.9923629760742188,0,0,0,0,0.9430741477798571,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9926071324191263,0.8218770146369934,0.9990920543670654,1.028066476360781,0.8709027290344238,0.991743516921997
2025-05-06 13:27:50.241283,1.9880913496017456,0.7194390892982483,0.9960830211639404,1.045662522315979,0.7676481604576111,0.9890763759613037,1.5168769359588623,0.7435436248779297,0.9925796985626221,0,0,0,0,0.9436870784949158,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9926031595192175,0.8220216393470764,0.9990511417388916,1.0276491636314173,0.8702307105064392,0.9920444965362549
2025-05-06 13:27:50.341856,1.9881051778793335,0.7194529175758362,0.9960330724716187,1.0461708307266235,0.7682357430458069,0.9888232946395874,1.5171380043029785,0.7438443303108215,0.992428183555603,0,0,0,0,0.9432242889701382,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9926051183641145,0.8219151854515075,0.9990617990493774,1.0279604867994598,0.8706980109214782,0.9918520212173462
2025-05-06 13:27:50.443543,1.988110899925232,0.7194194793701172,0.9960718154907227,1.045789122581482,0.7677792310714722,0.9889669418334961,1.516950011253357,0.7435993552207947,0.9925193786621094,0,0,0,0,0.9435886163316013,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9926131721575688,0.8219797372817993,0.9990640640258789,1.0277268413464595,0.8703394889831543,0.9919591903686523
2025-05-06 13:27:50.549737,1.9881128072738647,0.7194989919662476,0.9960309863090515,1.046151876449585,0.7682355642318726,0.9888437986373901,1.5171323418617249,0.7438672780990601,0.9924373924732208,0,0,0,0,0.9432482729070718,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9926102159477606,0.8219520807266235,0.9990560293197632,1.0279485942863094,0.8706886529922485,0.9918688416481019
2025-05-06 13:27:50.650803,1.9881172180175781,0.7194773554801941,0.9960818290710449,1.0459561347961426,0.7679141759872437,0.988982617855072,1.5170366764068604,0.7436957657337189,0.9925322234630585,0,0,0,0,0.9434320490198062,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9926161376508729,0.8219990491867065,0.9990689396858216,1.0278278740373596,0.8704358696937561,0.9919697284698487
2025-05-06 13:27:50.751305,1.9881057739257812,0.7194262742996216,0.9960113763809204,1.0461761951446533,0.7682414650917053,0.9888274669647217,1.5171409845352173,0.7438338696956635,0.992419421672821,0,0,0,0,0.9432210042134138,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9926051792690116,0.8218927264213562,0.999043607711792,1.0279640021732492,0.87070791721344,0.9918596982955933
2025-05-06 13:27:50.853385,1.9881136417388916,0.7194472551345825,0.9960803389549255,1.0460165739059448,0.7680275440216064,0.9889367818832397,1.5170651078224182,0.7437373995780945,0.9925085604190826,0,0,0,0,0.9433758318376717,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.99261243224239,0.8219522953033447,0.9990769147872924,1.027865697144512,0.8705325841903686,0.9919333577156066
2025-05-06 13:27:50.953389,1.9881243705749512,0.7195070385932922,0.9960163235664368,1.046129584312439,0.7681939601898193,0.9888561367988586,1.517126977443695,0.7438504993915558,0.9924362301826477,0,0,0,0,0.9432793127991566,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9926177170376418,0.8219668388366699,0.9990418314933777,1.0279346558947922,0.870653760433197,0.9918816447257995
