Timestamp,Cur_CF1_X,Cur_CF1_Y,Cur_CF1_Z,Cur_CF2_X,Cur_CF2_Y,Cur_CF2_Z,Cur_Cluster_X,Cur_Cluster_Y,Cur_Cluster_Z,Des_Cluster_X,Des_Cluster_Y,Des_Cluster_Z,Des_CF1_X,Des_CF1_Y,Des_CF1_Z,Des_CF2_X,Des_CF2_Y,Des_CF2_Z
2025-05-04 11:36:34.175805,2.0082192420959473,0.08479341119527817,1.007121205329895,1.0093944072723389,0.09056353569030762,0.9936978220939636,1.508806824684143,0.08767847344279289,1.0004095137119293,1.5,1.0,1.0,2.0049101731282875,0.449722021818161,1.0069573998451233,1.0056580164926843,0.45549214631319046,0.9935340166091919
2025-05-04 11:36:34.275941,2.008331775665283,0.08465195447206497,1.007082462310791,1.0096662044525146,0.09109653532505035,0.993803083896637,1.508998990058899,0.08787424489855766,1.000442773103714,1.5,1.0,1.0,2.004977250026541,0.4495022565126419,1.0069053530693055,1.0058215380441375,0.4559468373656273,0.9936259746551513
2025-05-04 11:36:34.377277,2.008117914199829,0.08502122014760971,1.0082569122314453,1.009156584739685,0.09175731241703033,0.9942250847816467,1.508637249469757,0.08838926628232002,1.001240998506546,1.5,1.0,1.0,2.0048464980898344,0.4496655136346817,1.007760512828827,1.0055182012738741,0.45640160590410234,0.9937286853790284
2025-05-04 11:36:34.477854,2.004908323287964,0.09286130219697952,1.0125513076782227,1.0097432136535645,0.11035393923521042,0.9948251247406006,1.5073257684707642,0.10160762071609497,1.0036882162094116,1.5,1.0,1.0,2.0028826814143184,0.45221825391054155,1.011076021194458,1.0059082407505988,0.46971089094877244,0.993349838256836
2025-05-04 11:36:34.578693,1.9976245164871216,0.11383584886789322,1.0200221538543701,1.0112040042877197,0.14955878257751465,0.9953540563583374,1.5044142603874207,0.13169731572270393,1.0076881051063538,1.5,1.0,1.0,1.9983837435346339,0.4611569225788117,1.0169469118118286,1.006913368930271,0.4968798562884331,0.9922788143157959
2025-05-04 11:36:34.686005,1.9823575019836426,0.1446235328912735,1.033048152923584,1.015262246131897,0.22012412548065186,0.9963009357452393,1.4988098740577698,0.18237382918596268,1.0146745443344116,1.5,1.0,1.0,1.9886868108125342,0.47167400121688846,1.0271783351898194,1.0098850380567896,0.5471745938062669,0.9904311180114747
2025-05-04 11:36:34.786764,1.9641070365905762,0.17229120433330536,1.0488065481185913,1.020463228225708,0.3012349009513855,0.996558427810669,1.492285132408142,0.23676305264234543,1.0226824879646301,1.5,1.0,1.0,1.9764240154969026,0.4775859832763672,1.0397335529327392,1.0143181433928679,0.6065296798944473,0.9874854326248169
2025-05-04 11:36:34.888339,1.9437888860702515,0.2014845907688141,1.0669137239456177,1.0266156196594238,0.40594998002052307,0.9969485998153687,1.4852022528648376,0.3037172853946686,1.0319311618804932,1.5,1.0,1.0,1.9612502427522187,0.47999767661094667,1.0541412591934205,1.0209924606855865,0.6844630658626556,0.9841761350631714
2025-05-04 11:36:34.988711,1.9228111505508423,0.22683066129684448,1.0862467288970947,1.0338386297225952,0.5147087574005127,0.997471272945404,1.4783248901367188,0.3707697093486786,1.0418590009212494,1.5,1.0,1.0,1.9437551150523618,0.47852277755737305,1.069503128528595,1.0302347531117007,0.7664008736610413,0.9807276725769043
2025-05-04 11:36:35.096351,1.901361346244812,0.25079822540283203,1.1071885824203491,1.042281150817871,0.6346431374549866,0.9982424378395081,1.4718212485313416,0.4427206814289093,1.0527155101299286,1.5,1.0,1.0,1.9231889278375347,0.4737099528312683,1.0861023783683776,1.0429965704000752,0.8575548648834228,0.9771562337875366
2025-05-04 11:36:35.197104,1.8840917348861694,0.2677713632583618,1.124072551727295,1.051871657371521,0.7769998908042908,0.9990843534469604,1.4679816961288452,0.5223856270313263,1.0615784525871277,1.5,1.0,1.0,1.9001732573746761,0.45881711244583134,1.0994411706924438,1.061404777979938,0.9680456399917603,0.9744529724121094
2025-05-04 11:36:35.298468,1.86996328830719,0.27830740809440613,1.1384626626968384,1.0611416101455688,0.9138914346694946,1.0008188486099243,1.4655524492263794,0.5960994213819504,1.0696407556533813,1.5,1.0,1.0,1.876174933390378,0.439867639541626,1.1106063604354859,1.0824880056812771,1.0754516661167144,0.9729625463485718
2025-05-04 11:36:35.405625,1.8576887845993042,0.2835918068885803,1.15105140209198,1.0711506605148315,1.0542349815368652,1.0030133724212646,1.4644197225570679,0.6689133942127228,1.0770323872566223,1.5,1.0,1.0,1.8497094303908035,0.4160264492034912,1.120238447189331,1.107594236677678,1.1866696238517762,0.9722004175186157
2025-05-04 11:36:35.506324,1.8491119146347046,0.2811390161514282,1.1585988998413086,1.0812926292419434,1.1988176107406616,1.0056120157241821,1.465202271938324,0.7399783134460449,1.0821054577827454,1.5,1.0,1.0,1.8217771607335251,0.38514769077301025,1.1257567167282105,1.1364655655924636,1.3028262853622437,0.972769832611084
2025-05-04 11:36:35.608500,1.8424608707427979,0.2721589207649231,1.1627637147903442,1.0911173820495605,1.3449190855026245,1.0079606771469116,1.4667891263961792,0.8085390031337738,1.085362195968628,1.5,1.0,1.0,1.791980522810821,0.3487433195114136,1.128618836402893,1.168166428864594,1.421503484249115,0.9738157987594604
2025-05-04 11:36:35.708897,1.8372787237167358,0.2561126947402954,1.1636240482330322,1.100524663925171,1.5009640455245972,1.0099037885665894,1.4689016938209534,0.8785383701324463,1.0867639183998108,1.5,1.0,1.0,1.758782221759614,0.3046973466873169,1.1289184808731079,1.20389981082553,1.5495486974716186,0.975198221206665
