Timestamp,Cur_CF1_X,Cur_CF1_Y,Cur_CF1_Z,Cur_CF2_X,Cur_CF2_Y,Cur_CF2_Z,Cur_Cluster_X,Cur_Cluster_Y,Cur_Cluster_Z,Cur_Alpha,Cur_Beta,Cur_Phi1,Cur_Phi2,Cur_P,Des_Cluster_X,Des_Cluster_Y,Des_Cluster_Z,Des_Alpha,Des_Beta,Des_Phi1,Des_Phi2,Des_P,Des_CF1_X,Des_CF1_Y,Des_CF1_Z,Safe_CF1_X,Safe_CF1_Y,Safe_CF1_Z,Des_CF2_X,Des_CF2_Y,Des_CF2_Z,Safe_CF2_X,Safe_CF2_Y,Safe_CF2_Z
2025-05-06 18:50:29.144080,1.9974653720855713,0.08711089193820953,1.0084677934646606,1.0012972354888916,0.09166757017374039,1.010636806488037,1.4993093609809875,0.08932698518037796,1.0096126794815063,0,0,0,0,0.9960373573544152,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9983902706098053,0.45125560611486437,1.004743480682373,0.3145992348106649,0.3816521406173706,0.1978792667388916,1.0007809625673796,0.4559367761015892,1.0067917346954345,1.486217086562321,0.4733914375305176,1.2084829330444335
2025-05-06 18:50:29.244542,1.9973667860031128,0.08713921159505844,1.0086314678192139,1.000759243965149,0.09227578341960907,1.0106121301651,1.4990851283073425,0.08977362141013145,1.0095655918121338,0,0,0,0,0.996666530114612,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9984436553036766,0.45136201083660127,1.0046928167343139,0.3145992348106649,0.3816521406173706,0.1978792667388916,1.0004584986651344,0.4563663348555565,1.0067858934402465,1.486217086562321,0.4733914375305176,1.2084829330444335
2025-05-06 18:50:29.345290,1.9963490962982178,0.08893198519945145,1.0121666193008423,0.9991360306739807,0.09420713037252426,1.013479471206665,1.4977425634860992,0.09156955778598785,1.0128230452537537,0,0,0,0,0.9972278821755901,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.99780649446866,0.4523041620850563,1.0070374011993408,1.9984286844518349,0.4512903273105622,1.0047518253326415,0.999484581714659,0.4575793072581291,1.0083502531051636,1.0008189380380943,0.45598189085721974,1.006764793395996
2025-05-06 18:50:29.446431,1.9893754720687866,0.10409112274646759,1.0223397016525269,1.0032529830932617,0.1117609515786171,1.023799180984497,1.495892584323883,0.10687866061925888,1.022414743900299,0,0,0,0,0.9869815327467486,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9936221317898837,0.46133965849876407,1.0133738040924072,1.9984191444806372,0.4512064278125763,1.0047544956207275,1.001448969398776,0.46691473424434665,1.0135238885879516,1.0008190366335596,0.45600286573171617,1.0067641258239746
2025-05-06 18:50:29.546613,1.9738190174102783,0.12444892525672913,1.0412474870681763,1.017928957939148,0.13383975625038147,1.0423067808151245,1.4968453645706177,0.1278737336397171,1.0406358242034912,0,0,0,0,0.9579129606860702,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9854410332366264,0.47075821757316594,1.0227105379104615,1.9984192820150253,0.4512378886342049,1.004748821258545,1.010773404248115,0.4826902627944947,1.0260524511337281,1.0008082417886857,0.4558770224452019,1.006786823272705
2025-05-06 18:50:29.654934,1.9444867372512817,0.14831969141960144,1.0712558031082153,1.0446581840515137,0.1519237905740738,1.071640133857727,1.4961034655570984,0.14901331067085266,1.0698980689048767,0,0,0,0,0.9029160489817947,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9685241510434848,0.48649750649929047,1.0401967763900757,1.998401763198005,0.4511823669075966,1.004746150970459,1.0268000076250332,0.4923184663057327,1.0436809062957764,1.0008083083657155,0.45589090287685397,1.0067874908447265
2025-05-06 18:50:29.755015,1.912390112876892,0.1693688929080963,1.1008124351501465,1.0822551250457764,0.16740699112415314,1.1088833808898926,1.4973226189613342,0.16838794201612473,1.1048479080200195,0,0,0,0,0.8301765398065103,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9474257573310563,0.5020137161016465,1.0588732719421388,1.9984017552093158,0.45117633044719696,1.0047563314437866,1.0493613854225448,0.5000518143177033,1.0669442176818849,1.0008005200668681,0.45591504871845245,1.006746768951416
2025-05-06 18:50:29.855740,1.8673633337020874,0.196546271443367,1.1403728723526,1.129448413848877,0.1851026713848114,1.1555869579315186,1.4962616562843323,0.19001885503530502,1.1457939743995667,0,0,0,0,0.7423973343018937,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9203792043279757,0.520538729429245,1.0820552825927734,1.9984017552093158,0.45117633044719696,1.0047563314437866,1.075134783213223,0.507483896613121,1.0928974866867065,1.0008005200668681,0.45591504871845245,1.006746768951416
2025-05-06 18:50:29.956331,1.8236509561538696,0.22125589847564697,1.17644202709198,1.1681309938430786,0.20180492103099823,1.1946218013763428,1.4958909749984741,0.2115304097533226,1.1855319142341614,0,0,0,0,0.656060413151505,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.894082483524179,0.536643734574318,1.1022292613983153,1.9984265378131392,0.45128755867481235,1.0047086477279663,1.10098668647399,0.5171927571296693,1.1204090356826781,1.0008004137859818,0.45588724166154865,1.006758689880371
2025-05-06 18:50:30.064454,1.7800780534744263,0.24520322680473328,1.211091160774231,1.215819001197815,0.23006340861320496,1.2435290813446045,1.496046781539917,0.2363719493150711,1.2253518104553223,0,0,0,0,0.5690522683485635,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.8678488871887469,0.5506544470787049,1.1209504365921021,1.9984265378131392,0.45128755867481235,1.0047086477279663,1.1274072506591537,0.5329918920993806,1.1494717359542848,1.0008004137859818,0.45588724166154865,1.006758689880371
