time_s,x,y,z,yaw,pitch,roll
20250807_155500,-0.00034336221870034933,1.0724290609359741,0.9980998635292053,-0.15303288400173187,0.7970994710922241,-0.4439483880996704
20250807_155500,-0.0003534939023666084,1.0723382234573364,0.9980924129486084,-0.15166349709033966,0.7768887877464294,-0.39511775970458984
20250807_155500,-0.0003312419867143035,1.072377324104309,0.9980984330177307,-0.15557079017162323,0.7960991263389587,-0.38817358016967773
20250807_155500,-0.00034939736360684037,1.072437047958374,0.9981012344360352,-0.1334453970193863,0.8334514498710632,-0.4448155164718628
20250807_155500,-0.0003546923981048167,1.0723459720611572,0.9980881214141846,-0.14331746101379395,0.7865307927131653,-0.4125937819480896
20250807_155500,-0.0003760878462344408,1.0724565982818604,0.998095691204071,-0.12069470435380936,0.8866063356399536,-0.44919607043266296
20250807_155500,-0.00035473733441904187,1.0724024772644043,0.9980883002281189,-0.14602559804916382,0.8038748502731323,-0.39574751257896423
20250807_155500,-0.0003024769830517471,1.0725094079971313,0.9981070160865784,-0.13345171511173248,0.8311784863471985,-0.4430834650993347
20250807_155500,-0.0002994057722389698,1.0724669694900513,0.9981062412261963,-0.13382084667682648,0.824644148349762,-0.43481916189193726
20250807_155500,-0.000315105018671602,1.072386622428894,0.9981087446212769,-0.13977251946926117,0.8034496307373047,-0.41086986660957336
20250807_155500,-0.00040642026579007506,1.0723503828048706,0.9981089234352112,-0.14250484108924866,0.8104751110076904,-0.41949883103370667
20250807_155500,-0.0004236085806041956,1.0723060369491577,0.9981076121330261,-0.13674601912498474,0.8523293137550354,-0.40724536776542664
20250807_155500,-0.0003879331052303314,1.0724066495895386,0.9981127381324768,-0.12561842799186707,0.8537243008613586,-0.4397003650665283
20250807_155500,-0.0003123045898973942,1.0725104808807373,0.9980706572532654,-0.13993585109710693,0.8447716236114502,-0.47285887598991394
20250807_155500,-0.00023224749020300806,1.0725411176681519,0.9980946779251099,-0.13843247294425964,0.8286288976669312,-0.4032787084579468
20250807_155500,-0.00027014981606043875,1.0724605321884155,0.9981024265289307,-0.14666713774204254,0.7995332479476929,-0.3868933916091919
20250807_155500,-0.00034783518640324473,1.0723321437835693,0.9981105327606201,-0.14256520569324493,0.7885625958442688,-0.40532538294792175
20250807_155500,-0.0004143570549786091,1.0722663402557373,0.9981260895729065,-0.1489502489566803,0.8369515538215637,-0.38530510663986206
20250807_155500,-0.00043221114901825786,1.072316288948059,0.9980943202972412,-0.14544235169887543,0.8353604674339294,-0.4180215299129486
20250807_155500,-0.000343946972861886,1.0724846124649048,0.9980801343917847,-0.14436069130897522,0.8336464762687683,-0.4728061556816101
20250807_155500,-0.00028672022745013237,1.0726131200790405,0.9980835318565369,-0.1280120462179184,0.824588418006897,-0.49171939492225647
20250807_155500,-0.0003222547238692641,1.0724785327911377,0.9980849027633667,-0.13968195021152496,0.8231873512268066,-0.43920019268989563
20250807_155500,-0.00034923575003631413,1.072368860244751,0.9980998039245605,-0.15154200792312622,0.7788962125778198,-0.35183680057525635
20250807_155500,-0.00033996207639575005,1.0723992586135864,0.998106837272644,-0.15009598433971405,0.7978842258453369,-0.4228798747062683
20250807_155500,-0.0003375393571332097,1.0723611116409302,0.9981029033660889,-0.1407393515110016,0.786838948726654,-0.38626977801322937
20250807_155500,-0.00037973205326125026,1.0723103284835815,0.9980978965759277,-0.14887434244155884,0.756329357624054,-0.3701096475124359
20250807_155500,-0.00035815034061670303,1.072386622428894,0.9980863928794861,-0.14334678649902344,0.8027746677398682,-0.38570892810821533
20250807_155500,-0.0003284323029220104,1.0725129842758179,0.9980821013450623,-0.1421535760164261,0.8462730050086975,-0.4780018925666809
20250807_155500,-0.00032544549321755767,1.0725059509277344,0.9980874061584473,-0.1485407054424286,0.8472535610198975,-0.47434431314468384
20250807_155500,-0.0003297495422884822,1.072464942932129,0.9981033205986023,-0.14726080000400543,0.8193582892417908,-0.44878676533699036
20250807_155500,-0.0003399851266294718,1.0723663568496704,0.9981088638305664,-0.13764230906963348,0.8041723370552063,-0.42157843708992004
20250807_155500,-0.00035095852217637,1.072379231452942,0.998113751411438,-0.15193049609661102,0.7815757989883423,-0.3680771589279175
20250807_155500,-0.00033654586877673864,1.0723447799682617,0.9981028437614441,-0.1505158692598343,0.7875978946685791,-0.39067819714546204
20250807_155500,-0.00035585489240475,1.072414755821228,0.9980897307395935,-0.1459466516971588,0.7905540466308594,-0.3935563862323761
20250807_155501,-0.0003674046602100134,1.0724446773529053,0.9980921149253845,-0.14556819200515747,0.819024384021759,-0.4570581316947937
20250807_155501,-0.000333692179992795,1.0724495649337769,0.9980762600898743,-0.14841604232788086,0.8379818797111511,-0.41550806164741516
20250807_155501,-0.00033942886511795223,1.0724530220031738,0.998104453086853,-0.14768928289413452,0.8130049109458923,-0.4106588363647461
20250807_155501,-0.0003225501859560609,1.0723588466644287,0.9981203079223633,-0.14502188563346863,0.8069044947624207,-0.3947596251964569
20250807_155501,-0.0003288248262833804,1.0723578929901123,0.9981179237365723,-0.1511918306350708,0.800977349281311,-0.3685266971588135
20250807_155501,-0.0003749894676730037,1.0723822116851807,0.9981095194816589,-0.14837999641895294,0.7902390956878662,-0.39435067772865295
20250807_155501,-0.0003251630114391446,1.0724319219589233,0.9980800151824951,-0.14947013556957245,0.8227003812789917,-0.41074755787849426
20250807_155501,-0.0003227356937713921,1.0724875926971436,0.9980835318565369,-0.12669780850410461,0.8225625157356262,-0.46687832474708557
20250807_155501,-0.00033806273131631315,1.0723934173583984,0.998090922832489,-0.14838333427906036,0.7902535796165466,-0.3860434889793396
20250807_155501,-0.00034660642268136144,1.0724599361419678,0.9980810284614563,-0.1432286649942398,0.8382368087768555,-0.4268606901168823
20250807_155501,-0.0003816107928287238,1.072401523590088,0.9980974793434143,-0.14602887630462646,0.777686595916748,-0.3986363410949707
20250807_155501,-0.00038844923255965114,1.0723509788513184,0.9981229901313782,-0.13665640354156494,0.8379374742507935,-0.3765019178390503
20250807_155501,-0.00037946426891721785,1.0723202228546143,0.9981004595756531,-0.14839331805706024,0.7764023542404175,-0.39746907353401184
20250807_155501,-0.0002938239776995033,1.0724639892578125,0.9980838894844055,-0.14237970113754272,0.800146222114563,-0.4093248248100281
20250807_155501,-0.00022493547294288874,1.07259202003479,0.9980731010437012,-0.13765159249305725,0.8450025320053101,-0.4352962076663971
20250807_155501,-0.0002823342219926417,1.072550892829895,0.9980753064155579,-0.1388709545135498,0.8406955599784851,-0.4374937117099762
20250807_155501,-0.00037618796341121197,1.0723744630813599,0.9981018304824829,-0.14375166594982147,0.803307294845581,-0.4157918095588684
20250807_155501,-0.00046275637578219175,1.0723118782043457,0.9981013536453247,-0.1471654176712036,0.8068424463272095,-0.3805846869945526
20250807_155501,-0.0004413090064190328,1.072279453277588,0.9981074333190918,-0.14022095501422882,0.8190045356750488,-0.36625760793685913
20250807_155501,-0.0003555030270945281,1.0723960399627686,0.9980967044830322,-0.15328747034072876,0.797685980796814,-0.38813239336013794
20250807_155501,-0.00027279253117740154,1.0725919008255005,0.9980658888816833,-0.12868373095989227,0.8381631374359131,-0.43639710545539856
20250807_155501,-0.00023351650452241302,1.0725605487823486,0.9980630278587341,-0.1335856020450592,0.8600687980651855,-0.4288374185562134
