time_s,x1dot,y1dot,z1dot,x2dot,y2dot,z2dot
1759432380.894977,7.017852282832992,0.8529427391456879,-1.3662711913257,-5.743337726901901,1.043389644010135,4.378476792064225
1759432380.8971527,7.017852282832992,0.8529427391456879,-1.3662711913257,-5.743337726901901,1.043389644010135,4.378476792064225
1759432380.898368,0.024441792748662688,0.8961747559228547,0.011554628504859693,-0.03741331317255185,0.8993424726209037,0.024654239521873705
1759432380.9043043,0.024441792748662688,0.8961747559228547,0.011554628504859693,-0.03741331317255185,0.8993424726209037,0.024654239521873705
1759432380.9051647,0.024441792748662688,0.8961747559228547,0.011554628504859693,-0.03741331317255185,0.8993424726209037,0.024654239521873705
1759432380.9064538,0.024645780711510006,0.8963875786850708,0.011573102211875814,-0.037374173789360345,0.8992940767218811,0.024695132041053874
1759432380.9076242,0.024645780711510006,0.8963875786850708,0.011573102211875814,-0.037374173789360345,0.8992940767218811,0.024695132041053874
1759432380.908442,0.024645780711510006,0.8963875786850708,0.011573102211875814,-0.037374173789360345,0.8992940767218811,0.024695132041053874
1759432380.909354,0.024645780711510006,0.8963875786850708,0.011573102211875814,-0.037374173789360345,0.8992940767218811,0.024695132041053874
1759432380.9105747,0.024577673455504868,0.8961858120203734,0.01157068941422192,-0.037327941437987774,0.8993035513519525,0.024707796837609135
1759432380.921929,0.024577673455504868,0.8961858120203734,0.01157068941422192,-0.037327941437987774,0.8993035513519525,0.024707796837609135
1759432380.924294,0.024577673455504868,0.8961858120203734,0.01157068941422192,-0.037327941437987774,0.8993035513519525,0.024707796837609135
1759432380.925152,0.024577673455504868,0.8961858120203734,0.01157068941422192,-0.037327941437987774,0.8993035513519525,0.024707796837609135
1759432380.925955,0.024577673455504868,0.8961858120203734,0.01157068941422192,-0.037327941437987774,0.8993035513519525,0.024707796837609135
1759432380.926694,0.024577673455504868,0.8961858120203734,0.01157068941422192,-0.037327941437987774,0.8993035513519525,0.024707796837609135
1759432380.928287,0.02454108117410789,0.8963091563149266,0.01157330779065546,-0.037397266610356666,0.8994288254813381,0.02464771958361212
1759432380.929106,0.02454108117410789,0.8963091563149266,0.01157330779065546,-0.037397266610356666,0.8994288254813381,0.02464771958361212
1759432380.9298813,0.02454108117410789,0.8963091563149266,0.01157330779065546,-0.037397266610356666,0.8994288254813381,0.02464771958361212
1759432380.9306068,0.02454108117410789,0.8963091563149266,0.01157330779065546,-0.037397266610356666,0.8994288254813381,0.02464771958361212
1759432380.934159,0.024553828866849675,0.8963032198050019,0.011583819772312078,-0.0372222000674112,0.899424979378939,0.024694666479518977
1759432380.9346943,0.024553828866849675,0.8963032198050019,0.011583819772312078,-0.0372222000674112,0.899424979378939,0.024694666479518977
1759432380.9351976,0.024553828866849675,0.8963032198050019,0.011583819772312078,-0.0372222000674112,0.899424979378939,0.024694666479518977
1759432380.935624,0.024553828866849675,0.8963032198050019,0.011583819772312078,-0.0372222000674112,0.899424979378939,0.024694666479518977
1759432380.9443424,0.02462052071017321,0.8962326984530546,0.011607013877305443,-0.03726427519244249,0.899393859910383,0.024688638512220924
1759432380.9448838,0.02462052071017321,0.8962326984530546,0.011607013877305443,-0.03726427519244249,0.899393859910383,0.024688638512220924
1759432380.9454257,0.02462052071017321,0.8962326984530546,0.011607013877305443,-0.03726427519244249,0.899393859910383,0.024688638512220924
1759432380.9458494,0.02462052071017321,0.8962326984530546,0.011607013877305443,-0.03726427519244249,0.899393859910383,0.024688638512220924
1759432380.9542627,0.024520130489587344,0.8962529101905237,0.011545412212226235,-0.03733405623269037,0.8993163979116072,0.024724729389336265
1759432380.9549236,0.024520130489587344,0.8962529101905237,0.011545412212226235,-0.03733405623269037,0.8993163979116072,0.024724729389336265
1759432380.955952,0.024591745085623853,0.8962296307387014,0.011563360720547724,-0.03733420485964119,0.8993177652058939,0.024724423855868292
1759432380.9564824,0.024591745085623853,0.8962296307387014,0.011563360720547724,-0.03733420485964119,0.8993177652058939,0.024724423855868292
1759432380.9677198,0.024592311260110643,0.8962260110640988,0.011566758014349612,-0.03734967219532182,0.8993862645363345,0.024657130382867185
1759432380.9744318,0.024592311260110643,0.8962260110640988,0.011566758014349612,-0.03734967219532182,0.8993862645363345,0.024657130382867185
1759432380.974967,0.024592311260110643,0.8962260110640988,0.011566758014349612,-0.03734967219532182,0.8993862645363345,0.024657130382867185
1759432380.975511,0.024592311260110643,0.8962260110640988,0.011566758014349612,-0.03734967219532182,0.8993862645363345,0.024657130382867185
1759432380.9759998,0.024592311260110643,0.8962260110640988,0.011566758014349612,-0.03734967219532182,0.8993862645363345,0.024657130382867185
1759432380.977876,0.024628446016976013,0.8964205919014688,0.011582285910672403,-0.03736548176831878,0.8992949189437155,0.024687140435152792
1759432380.9783795,0.024628446016976013,0.8964205919014688,0.011582285910672403,-0.03736548176831878,0.8992949189437155,0.024687140435152792
1759432380.978863,0.024628446016976013,0.8964205919014688,0.011582285910672403,-0.03736548176831878,0.8992949189437155,0.024687140435152792
1759432380.979343,0.024628446016976013,0.8964205919014688,0.011582285910672403,-0.03736548176831878,0.8992949189437155,0.024687140435152792
1759432380.990488,0.024600455872482857,0.8962402513005829,0.011561210074121574,-0.03734851848310908,0.8992588052770996,0.024704163155858896
1759432380.994288,0.024600455872482857,0.8962402513005829,0.011561210074121574,-0.03734851848310908,0.8992588052770996,0.024704163155858896
1759432380.9949954,0.024600455872482857,0.8962402513005829,0.011561210074121574,-0.03734851848310908,0.8992588052770996,0.024704163155858896
1759432380.9954865,0.024600455872482857,0.8962402513005829,0.011561210074121574,-0.03734851848310908,0.8992588052770996,0.024704163155858896
1759432380.995899,0.024600455872482857,0.8962402513005829,0.011561210074121574,-0.03734851848310908,0.8992588052770996,0.024704163155858896
1759432381.0045142,0.024546943691952927,0.8963219767202034,0.011576412154330935,-0.03732874253152202,0.8993447477232323,0.024704219864712034
1759432381.0050611,0.024546943691952927,0.8963219767202034,0.011576412154330935,-0.03732874253152202,0.8993447477232323,0.024704219864712034
1759432381.0055726,0.024546943691952927,0.8963219767202034,0.011576412154330935,-0.03732874253152202,0.8993447477232323,0.024704219864712034
1759432381.0060866,0.024546943691952927,0.8963219767202034,0.011576412154330935,-0.03732874253152202,0.8993447477232323,0.024704219864712034
1759432381.0077112,0.02442751523561268,0.8961953401515779,0.01155534037672091,-0.03734497424669056,0.8993320807864371,0.02469763508714628
1759432381.0082395,0.02442751523561268,0.8961953401515779,0.01155534037672091,-0.03734497424669056,0.8993320807864371,0.02469763508714628
1759432381.0087478,0.02442751523561268,0.8961953401515779,0.01155534037672091,-0.03734497424669056,0.8993320807864371,0.02469763508714628
1759432381.0092242,0.02442751523561268,0.8961953401515779,0.01155534037672091,-0.03734497424669056,0.8993320807864371,0.02469763508714628
1759432381.0207903,0.024455709786590552,0.8961609364105155,0.011550155206999254,-0.03725270781057737,0.8993915259288857,0.02470210500113063
1759432381.0242271,0.024455709786590552,0.8961609364105155,0.011550155206999254,-0.03725270781057737,0.8993915259288857,0.02470210500113063
1759432381.0248544,0.024455709786590552,0.8961609364105155,0.011550155206999254,-0.03725270781057737,0.8993915259288857,0.02470210500113063
1759432381.0255582,0.024455709786590552,0.8961609364105155,0.011550155206999254,-0.03725270781057737,0.8993915259288857,0.02470210500113063
1759432381.0261803,0.024455709786590552,0.8961609364105155,0.011550155206999254,-0.03725270781057737,0.8993915259288857,0.02470210500113063
1759432381.0275242,0.024543003913343887,0.8963155622349571,0.01157206385048212,-0.03738255965370033,0.8992527921928574,0.024692594123761045
