time_s,x,y,z,x_error,y_error,z_error,yaw,pitch,roll,yaw_command,pitch_command,roll_command,thrust_command,pitch_cmd_p,pitch_cmd_i,pitch_cmd_d,roll_cmd_p,roll_cmd_i,roll_cmd_d,thrust_cmd_p,thrust_cmd_i,thrust_cmd_d
20250912_150908.846471,2.0170602798461914,0.13181528449058533,2.9574692249298096,-1.0170602798461914,0.8681846857070923,0.04253077507019043,2.624802589416504,178.75482177734375,178.89149475097656,-2.624802589416504,-0.7582895159721375,-1.4685533046722412,56000,-0.051036931574344635,-0.0007437294698320329,-0.006508827209472656,-1.0170602798461914,-0.02669750526547432,-0.0247955322265625,26045.541015625,121.53772735595703,173.02035522460938
20250912_150908.847119,2.0169517993927,0.13193383812904358,2.9574668407440186,-1.0169517993927002,0.8680661916732788,0.042533159255981445,2.5496554374694824,178.56008911132812,178.9656524658203,-2.5496554374694824,-0.7524459362030029,-1.4104610681533813,56000,-0.051039792597293854,-0.0007862614584155381,-0.0006198883056640625,-1.0169517993927002,-0.028223013505339622,0.0347137451171875,26041.984375,128.48272705078125,-142.26437377929688
20250912_150908.848518,2.0170814990997314,0.1318850964307785,2.9574809074401855,-1.0170814990997314,0.8681148886680603,0.04251909255981445,2.5800588130950928,178.87469482421875,178.73880004882812,-2.5800588130950928,-0.7481943368911743,-1.4883339405059814,56000,-0.051022909581661224,-0.000828787568025291,0.0036573410034179688,-1.0170814990997314,-0.02974853850901127,-0.04150390625,26043.447265625,135.42745971679688,58.49003601074219
20250912_150908.849312,2.0169358253479004,0.13203412294387817,2.957493305206299,-1.0169358253479004,0.8679658770561218,0.04250669479370117,2.521190643310547,178.98838806152344,179.1227569580078,-2.521190643310547,-0.7486559152603149,-1.4015942811965942,56000,-0.051008034497499466,-0.0008713004644960165,0.003223419189453125,-1.0169358253479004,-0.03127405047416687,0.0466156005859375,26038.9765625,142.3717803955078,-178.83181762695312
20250912_150908.850521,2.017124652862549,0.13187257945537567,2.957573175430298,-1.0171246528625488,0.8681274056434631,0.04242682456970215,2.7332987785339355,179.27223205566406,178.87086486816406,-2.7332987785339355,-0.7310596704483032,-1.5103490352630615,56000,-0.05091219022870064,-0.0009137672022916377,0.020766258239746094,-1.0171246528625488,-0.03279959782958031,-0.0604248046875,26043.822265625,149.31614685058594,193.85218811035156
20250912_150908.851600,2.0169715881347656,0.1319868415594101,2.957490921020508,-1.0169715881347656,0.8680131435394287,0.04250907897949219,2.4915411472320557,178.75157165527344,178.8533477783203,-2.4915411472320557,-0.7733532786369324,-1.4023160934448242,56000,-0.051010895520448685,-0.000956235162448138,-0.021386146545410156,-1.0169715881347656,-0.034325167536735535,0.048980712890625,26040.39453125,156.26071166992188,-137.11453247070312
20250912_150908.852994,2.016956090927124,0.13190893828868866,2.9574904441833496,-1.016956090927124,0.8680910468101501,0.04250955581665039,2.526698589324951,178.54722595214844,178.96112060546875,-2.526698589324951,-0.7521342039108276,-1.447847604751587,56000,-0.05101146548986435,-0.0009987445082515478,-0.0001239776611328125,-1.016956090927124,-0.03585061430931091,0.0049591064453125,26042.732421875,163.2051239013672,93.48392486572266
20250912_150908.854270,2.017059564590454,0.13182295858860016,2.9574849605560303,-1.017059564590454,0.868177056312561,0.04251503944396973,2.6077756881713867,178.73550415039062,178.87060546875,-2.6077756881713867,-0.7534850239753723,-1.4875472784042358,56000,-0.05101804807782173,-0.0010412568226456642,-0.0014257431030273438,-1.017059564590454,-0.037376128137111664,-0.033111572265625,26045.310546875,170.15020751953125,103.17564392089844
20250912_150908.855751,2.0169484615325928,0.13191480934619904,2.9574790000915527,-1.0169484615325928,0.8680852055549622,0.042520999908447266,2.535186290740967,178.576904296875,178.96145629882812,-2.535186290740967,-0.7536587119102478,-1.4202971458435059,56000,-0.05102520063519478,-0.0010837748413905501,-0.0015497207641601562,-1.0169484615325928,-0.03890163078904152,0.035552978515625,26042.556640625,177.09524536132812,-110.22090911865234
20250912_150908.857326,2.017073392868042,0.1318514049053192,2.957484722137451,-1.017073392868042,0.8681485652923584,0.04251527786254883,2.5662713050842285,178.89793395996094,178.75057983398438,-2.5662713050842285,-0.7506569027900696,-1.4974786043167114,56000,-0.05101833492517471,-0.0011262929765507579,0.00148773193359375,-1.017073392868042,-0.04042714834213257,-0.03997802734375,26044.45703125,184.04019165039062,76.0853271484375
20250912_150908.858412,2.016937732696533,0.13205952942371368,2.957510232925415,-1.0169377326965332,0.8679404854774475,0.04248976707458496,2.500316858291626,178.95672607421875,179.0807342529297,-2.500316858291626,-0.7455236911773682,-1.4154791831970215,56000,-0.05098772048950195,-0.0011687955120578408,0.006632804870605469,-1.0169377326965332,-0.04195265844464302,0.0434112548828125,26038.21484375,190.9845428466797,-249.74942016601562
20250912_150908.863124,2.016957998275757,0.13194604218006134,2.95747971534729,-1.0169579982757568,0.8680539727210999,0.04252028465270996,2.4920225143432617,178.75399780273438,178.8573760986328,-2.4920225143432617,-0.7601702213287354,-1.466921091079712,56000,-0.051024340093135834,-0.0012113004922866821,-0.0079345703125,-1.0169579982757568,-0.04347807914018631,-0.0064849853515625,26041.619140625,197.9285125732422,136.1846923828125
20250912_150908.874041,2.0170466899871826,0.13179023563861847,2.9574809074401855,-1.0170466899871826,0.8682097792625427,0.04251909255981445,2.6179451942443848,178.73231506347656,178.85813903808594,-2.6179451942443848,-0.7519667744636536,-1.4904316663742065,56000,-0.051022909581661224,-0.0012538201408460736,0.00030994415283203125,-1.0170466899871826,-0.045003581792116165,-0.02838134765625,26046.29296875,204.8735809326172,186.9678497314453
20250912_150908.883169,2.0169715881347656,0.13200409710407257,2.9574856758117676,-1.0169715881347656,0.8679959177970886,0.04251432418823242,2.510948419570923,178.7477569580078,178.87184143066406,-2.510948419570923,-0.7510737776756287,-1.4394681453704834,56000,-0.05101718753576279,-0.0012963368790224195,0.001239776611328125,-1.0169715881347656,-0.046529095619916916,0.0240325927734375,26039.876953125,211.81838989257812,-256.6337585449219
20250912_150908.893702,2.0169894695281982,0.1319963037967682,2.9574666023254395,-1.0169894695281982,0.8680037260055542,0.04253339767456055,2.517639636993408,178.74942016601562,178.88726806640625,-2.517639636993408,-0.7573380470275879,-1.4707660675048828,56000,-0.05104007571935654,-0.0013388607185333967,-0.0049591064453125,-1.0169894695281982,-0.048054568469524384,-0.0057220458984375,26040.111328125,218.76239013671875,9.351968765258789
20250912_150908.903053,2.0169677734375,0.1320275068283081,2.9575111865997314,-1.0169677734375,0.8679724931716919,0.042488813400268555,2.5229883193969727,178.7140350341797,178.82289123535156,-2.5229883193969727,-0.7407760620117188,-1.459605097770691,56000,-0.050986576825380325,-0.0013813718687742949,0.011591911315917969,-1.0169677734375,-0.049580033868551254,0.0069427490234375,26039.173828125,225.706298828125,-37.44363784790039
20250912_150908.920078,2.0169479846954346,0.131999209523201,2.9575018882751465,-1.0169479846954346,0.8680008053779602,0.042498111724853516,2.5070855617523193,178.74481201171875,178.81280517578125,-2.5070855617523193,-0.7548391819000244,-1.4617210626602173,56000,-0.05099773406982422,-0.0014238653238862753,-0.0024175643920898438,-1.0169479846954346,-0.051105473190546036,0.0063323974609375,26040.0234375,232.6501922607422,33.956764221191406
20250912_150908.923856,2.016942262649536,0.13195405900478363,2.9574968814849854,-1.0169422626495361,0.8680459260940552,0.04250311851501465,2.5074079036712646,178.8266143798828,178.8384552001953,-2.5074079036712646,-0.7537719011306763,-1.4677420854568481,56000,-0.05100374296307564,-0.0014663658803328872,-0.0013017654418945312,-1.0169422626495361,-0.052630890160799026,0.0018310546875,26041.37890625,239.59437561035156,54.18062210083008
20250912_150908.933845,2.0169548988342285,0.1319667100906372,2.9574975967407227,-1.0169548988342285,0.8680332899093628,0.042502403259277344,2.5154192447662354,178.7550506591797,178.90000915527344,-2.5154192447662354,-0.7523257732391357,-1.4751547574996948,56000,-0.05100288242101669,-0.0015088686486706138,0.00018596649169921875,-1.0169548988342285,-0.054156310856342316,-0.0040435791015625,26040.998046875,246.5386962890625,-15.181303024291992
20250912_150908.943641,2.0169668197631836,0.13201525807380676,2.957453966140747,-1.0169668197631836,0.8679847717285156,0.04254603385925293,2.5229978561401367,178.6861114501953,178.81613159179688,-2.5229978561401367,-0.7639505863189697,-1.4764633178710938,56000,-0.051055241376161575,-0.0015513929538428783,-0.011343955993652344,-1.0169668197631836,-0.055681753903627396,-0.003814697265625,26039.54296875,253.48277282714844,-58.2575798034668
20250912_150908.957259,2.0169665813446045,0.13200706243515015,2.9574458599090576,-1.0169665813446045,0.8679929375648499,0.04255414009094238,2.4932684898376465,178.69773864746094,178.8226776123047,-2.4932684898376465,-0.7547665238380432,-1.474097490310669,56000,-0.05106496810913086,-0.0015939429868012667,-0.0021076202392578125,-1.0169665813446045,-0.05720720440149307,7.62939453125e-05,26039.7890625,260.4266662597656,9.834766387939453
20250912_150908.963572,2.016951084136963,0.13200977444648743,2.9574215412139893,-1.016951084136963,0.867990255355835,0.04257845878601074,2.404315233230591,178.76083374023438,178.87069702148438,-2.404315233230591,-0.7590535283088684,-1.4707245826721191,56000,-0.05109415203332901,-0.0016365093179047108,-0.0063228607177734375,-1.016951084136963,-0.058732643723487854,0.0049591064453125,26039.70703125,267.37060546875,-3.254413604736328
20250912_150908.973972,2.016993761062622,0.1319388896226883,2.9574313163757324,-1.016993761062622,0.8680611252784729,0.04256868362426758,2.4314160346984863,178.9723358154297,178.7427978515625,-2.4314160346984863,-0.7502199411392212,-1.4909085035324097,56000,-0.05108242109417915,-0.0016790828667581081,0.0025415420532226562,-1.016993761062622,-0.06025810167193413,-0.0136566162109375,26041.833984375,274.3148193359375,85.0617904663086
20250912_150908.984223,2.0169460773468018,0.13191168010234833,2.957484722137451,-1.0169460773468018,0.8680883049964905,0.04251527786254883,2.3688724040985107,178.994384765625,178.78167724609375,-2.3688724040985107,-0.7388544678688049,-1.4634708166122437,56000,-0.05101833492517471,-0.0017216248670592904,0.013885498046875,-1.0169460773468018,-0.0617835558950901,0.0152587890625,26042.650390625,281.2594299316406,32.651424407958984
20250912_150908.993710,2.0169265270233154,0.13192909955978394,2.9575109481811523,-1.0169265270233154,0.8680709004402161,0.042489051818847656,2.3475377559661865,178.95843505859375,178.7295684814453,-2.3475377559661865,-0.7459322214126587,-1.4739793539047241,56000,-0.05098686367273331,-0.0017641270533204079,0.0068187713623046875,-1.0169265270233154,-0.0633089616894722,0.006256103515625,26042.126953125,288.20404052734375,-20.903348922729492
20250912_150909.003814,2.017115831375122,0.13187047839164734,2.9575374126434326,-1.017115831375122,0.8681294918060303,0.04246258735656738,2.2033679485321045,179.15255737304688,178.5853271484375,-2.2033679485321045,-0.7458809614181519,-1.542527675628662,56000,-0.05095510557293892,-0.0018066028133034706,0.006880760192871094,-1.017115831375122,-0.06483449041843414,-0.060577392578125,26043.884765625,295.14886474609375,70.34539794921875
