time_s,x,y,z,x_error,y_error,z_error,yaw,pitch,roll,yaw_command,pitch_command,roll_command,thrust_command,pitch_cmd_p,pitch_cmd_i,pitch_cmd_d,roll_cmd_p,roll_cmd_i,roll_cmd_d,thrust_cmd_p,thrust_cmd_i,thrust_cmd_d
20250903_172304.621989,1.7759250402450562,0.1640782356262207,2.9799766540527344,0.22407495975494385,0.8359217643737793,0.020023345947265625,-88.50941467285156,172.5315399169922,-168.99725341796875,15.0,-0.02177136018872261,-1.3203482627868652,56000,-0.02402801439166069,-0.0011527299648150802,0.0034093856811523438,0.16805621981620789,0.0,0.011595487594604492,25077.65234375,384.52081298828125,14.930963516235352
20250903_172304.623033,1.7758842706680298,0.16417446732521057,2.979907751083374,0.22411572933197021,0.8358255624771118,0.020092248916625977,-88.39604187011719,178.9263916015625,-175.5526123046875,15.0,-0.04319825768470764,-1.3174400329589844,56000,-0.0241106990724802,-0.001172787742689252,-0.017914772033691406,0.16808679699897766,0.0,0.014473199844360352,25074.765625,391.2077941894531,-115.47804260253906
20250903_172304.623941,1.7758558988571167,0.16413134336471558,2.979926586151123,0.2241441011428833,0.8358686566352844,0.020073413848876953,-88.40879821777344,-178.82705688476562,-177.7454833984375,15.0,-0.02038384974002838,-1.3218199014663696,56000,-0.024088095873594284,-0.0011928706662729383,0.004897117614746094,0.16810807585716248,0.0,0.010071992874145508,25076.060546875,397.8945617675781,51.74875259399414
20250903_172304.624813,1.775867223739624,0.1641620695590973,2.97991681098938,0.22413277626037598,0.8358379602432251,0.020083189010620117,-88.41923522949219,-179.86566162109375,-176.74517822265625,15.0,-0.02785431779921055,-1.335920810699463,56000,-0.02409982681274414,-0.0012129489332437515,-0.0025415420532226562,0.16809958219528198,0.0,-0.004020333290100098,25075.138671875,404.5813903808594,-36.87143325805664
20250903_172304.625686,1.7758671045303345,0.16411159932613373,2.9799821376800537,0.22413289546966553,0.8358883857727051,0.02001786231994629,-88.32538604736328,179.38113403320312,-176.11158752441406,15.0,-0.008269494399428368,-1.3318580389022827,56000,-0.024021435528993607,-0.00123299949336797,0.016984939575195312,0.16809967160224915,0.0,4.2319297790527344e-05,25076.65234375,411.268310546875,60.56427764892578
20250903_172304.626589,1.775992512702942,0.16354741156101227,2.980055093765259,0.2240074872970581,0.8364526033401489,0.01994490623474121,-87.97178649902344,-149.21702575683594,151.90003967285156,15.0,-0.006218286231160164,-1.3765143156051636,56000,-0.023933887481689453,-0.0012529807863757014,0.018968582153320312,0.16800561547279358,0.0,-0.044519901275634766,25093.578125,417.9576721191406,677.0253295898438
20250903_172304.627258,1.7759480476379395,0.1640978902578354,2.9799699783325195,0.22405195236206055,0.8359020948410034,0.02003002166748047,-88.50000762939453,172.63685607910156,-169.11843872070312,15.0,-0.047439005225896835,-1.316175937652588,56000,-0.024036025628447533,-0.0012729682493954897,-0.02213001251220703,0.1680389642715454,0.0,0.0157850980758667,25077.0625,424.6470947265625,-660.574462890625
20250903_172304.627813,1.7759259939193726,0.1640586107969284,2.979966640472412,0.22407400608062744,0.8359413743019104,0.02003335952758789,-88.48760223388672,172.5647430419922,-169.00732421875,15.0,-0.026200875639915466,-1.3241153955459595,56000,-0.02404003217816353,-0.0012929999502375722,-0.0008678436279296875,0.16805550456047058,0.0,0.007829070091247559,25078.2421875,431.3344421386719,47.135353088378906
20250903_172304.628351,1.7759506702423096,0.16405896842479706,2.9799885749816895,0.22404932975769043,0.8359410166740417,0.020011425018310547,-88.50386047363281,172.0555877685547,-168.49693298339844,15.0,-0.019623760133981705,-1.3407230377197266,56000,-0.024013709276914597,-0.0013130223378539085,0.005702972412109375,0.16803699731826782,0.0,-0.00876009464263916,25078.23046875,438.02197265625,-0.4291534423828125
20250903_172304.628904,1.7758532762527466,0.16414189338684082,2.9799153804779053,0.22414672374725342,0.8358581066131592,0.020084619522094727,-88.4228515625,179.20407104492188,-175.81646728515625,15.0,-0.04446518421173096,-1.2973151206970215,56000,-0.02410154417157173,-0.0013330704532563686,-0.01903057098388672,0.16811004281044006,0.0,0.03457486629486084,25075.744140625,444.70916748046875,-99.50995635986328
20250903_172304.629852,1.775855541229248,0.1641739457845688,2.9799184799194336,0.22414445877075195,0.83582603931427,0.020081520080566406,-88.40509033203125,179.85858154296875,-176.49267578125,15.0,-0.0246451236307621,-1.332695722579956,56000,-0.024097824469208717,-0.0013531534932553768,0.0008058547973632812,0.16810834407806396,0.0,-0.0008040666580200195,25074.78125,451.3959045410156,-38.46287536621094
20250903_172304.640362,1.7758917808532715,0.1641983687877655,2.9798951148986816,0.22410821914672852,0.8358016014099121,0.02010488510131836,-88.41942596435547,178.6678924560547,-175.3510284423828,15.0,-0.03157401457428932,-1.344783902168274,56000,-0.02412586286664009,-0.001373246661387384,-0.0060749053955078125,0.1680811643600464,0.0,-0.012865066528320312,25074.048828125,458.0824279785156,-29.30760383605957
20250903_172304.650330,1.7760616540908813,0.16344444453716278,2.9801008701324463,0.22393834590911865,0.836555540561676,0.01989912986755371,-88.13838958740234,-152.0288848876953,154.85594177246094,15.0,0.02822415716946125,-1.3923512697219849,56000,-0.023878956213593483,-0.0013932486763224006,0.053496360778808594,0.167953759431839,0.0,-0.060304999351501465,25096.666015625,464.7718505859375,904.7091064453125
20250903_172304.660058,1.7759616374969482,0.16409623622894287,2.979968547821045,0.22403836250305176,0.8359037637710571,0.020031452178955078,-88.48333740234375,173.25125122070312,-169.75018310546875,15.0,-0.05985475704073906,-1.2964653968811035,56000,-0.024037742987275124,-0.0014132140204310417,-0.03440380096435547,0.16802877187728882,0.0,0.03550589084625244,25077.11328125,471.4617004394531,-782.1500244140625
