time_s,x,y,z,x_error,y_error,z_error,yaw,pitch,roll,roll_command,pitch_command,yaw_command,thrust_command,pitch_cmd_p,pitch_cmd_i,pitch_cmd_d,roll_cmd_p,roll_cmd_i,roll_cmd_d,thrust_cmd_p,thrust_cmd_i,thrust_cmd_d
20250903_114327.386675,2.013263702392578,0.0919848307967186,2.95461368560791,-0.013263702392578125,0.9080151915550232,0.045386314392089844,-1.5098987817764282,-178.81414794921875,178.7403564453125,0.37747469544410706,-0.07877843827009201,0.028744298964738846,56000,-0.05446357652544975,-0.005532244686037302,-0.018782615661621094,-0.009947776794433594,-0.002019089413806796,0.040711164474487305,27240.455078125,221.59872436523438,-288.6861572265625
20250903_114327.396411,2.0132124423980713,0.09168083965778351,2.954663038253784,-0.013212442398071289,0.9083191752433777,0.04533696174621582,-1.5064685344696045,-178.6839141845703,178.9718017578125,0.3766171336174011,-0.04728635773062706,0.006202686578035355,56000,-0.054404355585575104,-0.0057136910036206245,0.012831687927246094,-0.009909331798553467,-0.00208527990616858,0.018197298049926758,27249.57421875,228.86407470703125,364.78936767578125
20250903_114327.406020,2.013249158859253,0.09187998622655869,2.9547319412231445,-0.01324915885925293,0.9081200361251831,0.04526805877685547,-1.6008657217025757,-178.15731811523438,178.9081268310547,0.4002164304256439,-0.04230180010199547,-0.025122646242380142,56000,-0.05432166904211044,-0.005894901230931282,0.017914772033691406,-0.009936869144439697,-0.0021514338441193104,-0.013034343719482422,27243.599609375,236.12982177734375,-238.9758758544922
20250903_114327.416152,2.013266086578369,0.09196636825799942,2.954805612564087,-0.01326608657836914,0.9080336093902588,0.045194387435913086,-1.6254996061325073,-178.12440490722656,179.0848388671875,0.40637490153312683,-0.041154541075229645,-0.018176626414060593,56000,-0.05423326417803764,-0.00607582600787282,0.01915454864501953,-0.009949564933776855,-0.0022177218925207853,-0.006009340286254883,27241.009765625,243.39443969726562,-103.65843963623047
20250903_114327.426256,2.013124704360962,0.09179318696260452,2.9546449184417725,-0.013124704360961914,0.9082068204879761,0.04535508155822754,-1.5607935190200806,-178.12905883789062,178.7991943359375,0.39019837975502014,-0.1024634912610054,0.03806345909833908,56000,-0.05442609637975693,-0.006256924942135811,-0.04178047180175781,-0.009843528270721436,-0.0022836988791823387,0.05019068717956543,27246.205078125,250.65940856933594,207.8175506591797
20250903_114327.436278,2.013291358947754,0.09174560010433197,2.9546446800231934,-0.013291358947753906,0.9082543849945068,0.04535531997680664,-1.526330590248108,-178.4752197265625,178.6595001220703,0.381582647562027,-0.06092672049999237,-0.0714806392788887,56000,-0.05442638322710991,-0.006438346114009619,-6.198883056640625e-05,-0.00996851921081543,-0.0023497389629483223,-0.05916237831115723,27247.6328125,257.92523193359375,57.10422897338867
20250903_114327.446341,2.013165235519409,0.09194198250770569,2.954467296600342,-0.01316523551940918,0.9080580472946167,0.0455327033996582,-1.4532195329666138,-178.6950225830078,178.87881469726562,0.36330488324165344,-0.10737905651330948,0.032484009861946106,56000,-0.054639242589473724,-0.006620122119784355,-0.04611968994140625,-0.009873926639556885,-0.002415880560874939,0.04477381706237793,27241.740234375,265.19049072265625,-235.6588897705078
20250903_114327.456543,2.01310658454895,0.09192725270986557,2.95451283454895,-0.013106584548950195,0.9080727696418762,0.045487165451049805,-1.4764448404312134,-178.72052001953125,178.85696411132812,0.36911121010780334,-0.04954689368605614,0.00850959587842226,56000,-0.054584600031375885,-0.006802161689847708,0.011839866638183594,-0.009829938411712646,-0.0024815602228045464,0.020821094512939453,27242.181640625,272.45501708984375,17.675758361816406
20250903_114327.466796,2.013023853302002,0.0918232798576355,2.954528570175171,-0.013023853302001953,0.9081767201423645,0.0454714298248291,-1.4737846851348877,-178.58670043945312,178.7579803466797,0.3684461712837219,-0.057458531111478806,0.017054816707968712,56000,-0.05456571653485298,-0.006984078790992498,0.0040912628173828125,-0.009767889976501465,-0.0025468862149864435,0.029369592666625977,27245.30078125,279.72003173828125,124.76742553710938
20250903_114327.476844,2.0131049156188965,0.0919015184044838,2.9546220302581787,-0.013104915618896484,0.9080984592437744,0.04537796974182129,-1.519614815711975,-177.97598266601562,179.20034790039062,0.3799037039279938,-0.037319719791412354,-0.04121801629662514,56000,-0.05445356294512749,-0.007165777496993542,0.02429962158203125,-0.009828686714172363,-0.002612208016216755,-0.028777122497558594,27242.955078125,286.985107421875,-93.8862533569336
