time_s,x,y,z,x_error,y_error,z_error,yaw,pitch,roll,yaw_command,pitch_command,roll_command,thrust_command,pitch_cmd_p,pitch_cmd_i,pitch_cmd_d,roll_cmd_p,roll_cmd_i,roll_cmd_d,thrust_cmd_p,thrust_cmd_i,thrust_cmd_d
20250903_121834.973826,1.9947795867919922,0.09231267869472504,2.9584860801696777,0.0052204132080078125,0.9076873064041138,0.041513919830322266,-9.803449630737305,-178.31777954101562,179.06288146972656,2.450862407684326,-0.06001512333750725,-1.0,56000,-0.04981670528650284,-0.0035656157415360212,-0.006632804870605469,0.0,0.0,0.0,27230.619140625,156.15814208984375,35.718082427978516
20250903_121834.974495,1.9948428869247437,0.09220804274082184,2.958524703979492,0.005157113075256348,0.9077919721603394,0.04147529602050781,-9.807995796203613,-178.30284118652344,179.1840057373047,2.4519989490509033,-0.043459758162498474,-1.0,56000,-0.049770355224609375,-0.0037315941881388426,0.010042190551757812,0.0,0.0,0.0,27233.7578125,163.42005920410156,125.56314086914062
20250903_121834.975485,1.9949599504470825,0.0921826958656311,2.9585859775543213,0.0050400495529174805,0.9078173041343689,0.04141402244567871,-9.66419792175293,-178.15191650390625,179.00848388671875,2.4160494804382324,-0.03766306862235069,-1.0,56000,-0.049696825444698334,-0.0038973726332187653,0.015931129455566406,0.0,0.0,0.0,27234.51953125,170.6824951171875,30.416250228881836
20250903_121834.976415,1.9949827194213867,0.09192643314599991,2.9585137367248535,0.005017280578613281,0.9080735445022583,0.041486263275146484,-9.749627113342285,-178.8462677001953,179.51219177246094,2.4374067783355713,-0.07262930274009705,-1.0,56000,-0.04978351667523384,-0.004063173197209835,-0.018782615661621094,0.0,0.0,0.0,27242.20703125,177.94606018066406,307.5152587890625
20250903_121834.977502,1.9950233697891235,0.09196987003087997,2.9585323333740234,0.004976630210876465,0.9080301523208618,0.04146766662597656,-9.74570083618164,-178.80982971191406,179.5146484375,2.43642520904541,-0.04915515333414078,-1.0,56000,-0.049761198461055756,-0.004229081328958273,0.0048351287841796875,0.0,0.0,0.0,27240.904296875,185.21047973632812,-52.12425994873047
20250903_121834.978971,1.9950705766677856,0.09183139353990555,2.958448648452759,0.0049294233322143555,0.908168613910675,0.04155135154724121,-9.653992652893066,-178.592529296875,179.29547119140625,2.4134981632232666,-0.07601482421159744,-1.0,56000,-0.04986162111163139,-0.00439511938020587,-0.021758079528808594,0.0,0.0,0.0,27245.05859375,192.4752655029297,166.17178344726562
20250903_121834.981531,1.9948484897613525,0.09191817790269852,2.958512783050537,0.005151510238647461,0.9080818295478821,0.04148721694946289,-9.819720268249512,-178.88389587402344,179.62203979492188,2.454930067062378,-0.037670861929655075,-1.0,56000,-0.04978466033935547,-0.0045611965470016,0.01667499542236328,0.0,0.0,0.0,27242.455078125,199.7402801513672,-104.1412353515625
20250903_121834.982452,1.9948978424072266,0.09210482239723206,2.9586267471313477,0.0051021575927734375,0.9078952074050903,0.041373252868652344,-9.778179168701172,-178.40936279296875,179.12783813476562,2.444544792175293,-0.02474416047334671,-1.0,56000,-0.04964790493249893,-0.0047269174829125404,0.029630661010742188,0.0,0.0,0.0,27236.85546875,207.00418090820312,-223.973388671875
20250903_121834.984138,1.995007038116455,0.09194950759410858,2.958709716796875,0.004992961883544922,0.9080504775047302,0.041290283203125,-9.879083633422852,-178.5917510986328,179.3838653564453,2.469770908355713,-0.03286847099661827,-1.0,56000,-0.04954833909869194,-0.004892244469374418,0.021572113037109375,0.0,0.0,0.0,27241.515625,214.26795959472656,186.3777618408203
20250903_121834.985034,1.995012640953064,0.09208907932043076,2.958636522293091,0.004987359046936035,0.907910943031311,0.04136347770690918,-9.765460014343262,-178.37342834472656,179.1593780517578,2.4413650035858154,-0.07372429966926575,-1.0,56000,-0.049636173993349075,-0.005057551898062229,-0.01903057098388672,0.0,0.0,0.0,27237.328125,221.5318145751953,-167.48606872558594
