time_s,x,y,z,x_error,y_error,z_error,yaw,pitch,roll,yaw_command,pitch_command,roll_command,thrust_command,pitch_cmd_p,pitch_cmd_i,pitch_cmd_d,roll_cmd_p,roll_cmd_i,roll_cmd_d,thrust_cmd_p,thrust_cmd_i,thrust_cmd_d
20251029_154245.019844,1.015541672706604,0.06208677962422371,0.9846639633178711,-0.015541672706604004,0.9379132390022278,0.015336036682128906,3.5489706993103027,-177.7817840576172,-178.51426696777344,-3.5489706993103027,-0.1154298409819603,-0.14245487749576569,42000,-0.09968423843383789,-0.00953003205358982,-0.006215572357177734,-0.10879170894622803,-0.00874366145581007,-0.024919509887695312,23447.830078125,530.1154174804688,-435.2271423339844
20251029_154245.020652,1.0154879093170166,0.061786677688360214,0.984651505947113,-0.015487909317016602,0.9382133483886719,0.015348494052886963,3.6879348754882812,-178.8279571533203,-178.2794647216797,-3.6879348754882812,-0.11768587678670883,-0.08129270374774933,42000,-0.09976521134376526,-0.009698797017335892,-0.008221864700317383,-0.10841536521911621,-0.008898808620870113,0.03602147102355957,23455.333984375,539.4960327148438,480.1630859375
20251029_154245.022255,1.0154509544372559,0.06168763339519501,0.9846566319465637,-0.01545095443725586,0.9383123517036438,0.01534336805343628,3.681967258453369,-178.75987243652344,-178.31320190429688,-3.681967258453369,-0.10621633380651474,-0.09245041757822037,42000,-0.09973189234733582,-0.009867602027952671,0.003383159637451172,-0.10815668106079102,-0.009053503163158894,0.024759769439697266,23457.80859375,548.878662109375,158.4708709716797
20251029_154245.023922,1.0154362916946411,0.06163323298096657,0.9846899509429932,-0.015436291694641113,0.9383667707443237,0.015310049057006836,3.656489372253418,-178.846435546875,-178.22662353515625,-3.656489372253418,-0.0875609740614891,-0.10743794590234756,42000,-0.09951531887054443,-0.010036196559667587,0.021990537643432617,-0.10805404186248779,-0.009207939729094505,0.009824037551879883,23459.169921875,558.2620239257812,87.04066467285156
20251029_154245.025525,1.0154281854629517,0.061618056148290634,0.9847024083137512,-0.01542818546295166,0.9383819699287415,0.01529759168624878,3.673189878463745,-178.78936767578125,-178.20333862304688,-3.673189878463745,-0.10141701996326447,-0.11192838847637177,42000,-0.09943434596061707,-0.010204537771642208,0.008221864700317383,-0.10799729824066162,-0.00936226174235344,0.005431175231933594,23459.548828125,567.6458129882812,24.28293228149414
20251029_154245.026561,1.0154616832733154,0.06172430142760277,0.9846943616867065,-0.01546168327331543,0.9382756948471069,0.015305638313293457,3.677283525466919,-178.76133728027344,-178.2727813720703,-3.677283525466919,-0.11517027765512466,-0.14019203186035156,42000,-0.09948664903640747,-0.010372855700552464,-0.005310773849487305,-0.10823178291320801,-0.009516711346805096,-0.022443532943725586,23456.892578125,577.029052734375,-169.99244689941406
20251029_154245.028207,1.0155088901519775,0.061859190464019775,0.9846522212028503,-0.015508890151977539,0.9381408095359802,0.015347778797149658,3.643953561782837,-178.81504821777344,-178.2778778076172,-3.643953561782837,-0.13811473548412323,-0.1498624086380005,42000,-0.09976056218147278,-0.010541449300944805,-0.027812719345092773,-0.10856223106384277,-0.00967156421393156,-0.03162860870361328,23453.51953125,586.4111938476562,-215.8224639892578
20251029_154245.028994,1.0154980421066284,0.061814308166503906,0.9846693873405457,-0.015498042106628418,0.9381856918334961,0.015330612659454346,3.6920554637908936,-178.78395080566406,-178.28472900390625,-3.6920554637908936,-0.09902951121330261,-0.11104470491409302,42000,-0.09964898228645325,-0.01071018073707819,0.01132965087890625,-0.10848629474639893,-0.009826598688960075,0.007268190383911133,23454.642578125,595.7927856445312,71.81167602539062
20251029_154245.030488,1.0154685974121094,0.061664216220378876,0.9846770763397217,-0.015468597412109375,0.9383357763290405,0.01532292366027832,3.6679863929748535,-178.75233459472656,-178.25717163085938,-3.6679863929748535,-0.10540304332971573,-0.09853366762399673,42000,-0.09959900379180908,-0.010878775268793106,0.005074739456176758,-0.10828018188476562,-0.009981431998312473,0.01972794532775879,23458.39453125,605.1754150390625,240.14710998535156
20251029_154245.032029,1.0154564380645752,0.06164557859301567,0.9846935868263245,-0.015456438064575195,0.9383544325828552,0.015306413173675537,3.6613271236419678,-178.69940185546875,-178.2864990234375,-3.6613271236419678,-0.09964200109243393,-0.11018436402082443,42000,-0.09949168562889099,-0.011047236621379852,0.010896921157836914,-0.10819506645202637,-0.010136056691408157,0.00814676284790039,23458.861328125,614.558837890625,29.82020378112793
