time_s,x,y,z,x_error,y_error,z_error,yaw,pitch,roll,yaw_command,pitch_command,roll_command,thrust_command,pitch_cmd_p,pitch_cmd_i,pitch_cmd_d,roll_cmd_p,roll_cmd_i,roll_cmd_d,thrust_cmd_p,thrust_cmd_i,thrust_cmd_d
20251015_164656.408284,1.6897293329238892,0.08869724720716476,1.650968074798584,-0.08972933143377304,1.5113027095794678,-0.050968073308467865,-3.522179126739502,-176.34457397460938,-173.94264221191406,3.522179126739502,0.05153784155845642,-0.056929029524326324,45000,0.050968073308467865,-0.0011468484299257398,0.00171661376953125,-0.053837601095438004,-0.0020185476168990135,-0.0010728836059570312,13601.724609375,0.0,25.691091537475586
20251015_164656.409001,1.6898101568222046,0.0887727364897728,1.650934100151062,-0.08981015533208847,1.5112272500991821,-0.05093409866094589,-3.401118040084839,-176.55133056640625,-174.16197204589844,3.401118040084839,0.044640105217695236,-0.06407680362462997,45000,0.05093409866094589,-0.0011977995745837688,-0.0050961971282958984,-0.05388609319925308,-0.002108317567035556,-0.008082389831542969,13601.044921875,0.0,-45.29357147216797
20251015_164656.410215,1.6897220611572266,0.08860871195793152,1.6510099172592163,-0.08972205966711044,1.511391282081604,-0.05100991576910019,-3.523190975189209,-176.34286499023438,-173.99395751953125,3.523190975189209,0.06113371253013611,-0.04722175374627113,45000,0.05100991576910019,-0.001248771557584405,0.011372566223144531,-0.053833235055208206,-0.002198083559051156,0.008809566497802734,13602.521484375,0.0,98.41471862792969
20251015_164656.410919,1.6896790266036987,0.08856470882892609,1.651051640510559,-0.08967902511358261,1.5114352703094482,-0.05105163902044296,-3.5622951984405518,-176.25364685058594,-173.90174865722656,3.5622951984405518,0.056010324507951736,-0.05179174616932869,45000,0.05105163902044296,-0.0012998023303225636,0.006258487701416016,-0.05380741506814957,-0.0022877841256558895,0.004303455352783203,13602.91796875,0.0,26.401878356933594
20251015_164656.412376,1.6897037029266357,0.08871931582689285,1.6510523557662964,-0.08970370143651962,1.5112806558609009,-0.05105235427618027,-3.5247857570648193,-176.40283203125,-173.97357177734375,3.5247857570648193,0.04980878904461861,-0.05866732820868492,45000,0.05105235427618027,-0.0013508542906492949,0.00010728836059570312,-0.05382222309708595,-0.002377475379034877,-0.002467632293701172,13601.5263671875,0.0,-92.76419830322266
20251015_164656.413956,1.6897073984146118,0.08881949633359909,1.6510038375854492,-0.0897073969244957,1.5111805200576782,-0.0510038360953331,-3.468226194381714,-176.35179138183594,-174.01016235351562,3.468226194381714,0.04232422634959221,-0.05666116997599602,45000,0.0510038360953331,-0.0014018823858350515,-0.007277727127075195,-0.05382443964481354,-0.0024671810679137707,-0.0003695487976074219,13600.625,0.0,-60.10830307006836
20251015_164656.414957,1.6897746324539185,0.08883557468652725,1.6509326696395874,-0.08977463096380234,1.5111644268035889,-0.05093266814947128,-3.3876211643218994,-176.51150512695312,-174.22018432617188,3.3876211643218994,0.03880462795495987,-0.06314510852098465,45000,0.05093266814947128,-0.0014528506435453892,-0.010675191879272461,-0.05386478081345558,-0.0025569221470505,-0.0067234039306640625,13600.4794921875,0.0,-9.647011756896973
20251015_164656.416313,1.6897958517074585,0.08876262605190277,1.6509335041046143,-0.08979585021734238,1.511237382888794,-0.05093350261449814,-3.428524971008301,-176.5756378173828,-174.1290283203125,3.428524971008301,0.049554891884326935,-0.05864614248275757,45000,0.05093350261449814,-0.001503783743828535,0.0001251697540283203,-0.053877510130405426,-0.0026467072311788797,-0.0021219253540039062,13601.13671875,0.0,43.76918029785156
20251015_164656.418740,1.6897236108779907,0.08867035806179047,1.6509687900543213,-0.0897236093878746,1.5113296508789062,-0.05096878856420517,-3.502500057220459,-176.260986328125,-174.0692138671875,3.502500057220459,0.05470694601535797,-0.049346551299095154,45000,0.05096878856420517,-0.0015547348884865642,0.0052928924560546875,-0.05383416637778282,-0.0027364669367671013,0.007224082946777344,13601.966796875,0.0,55.36079406738281
20251015_164656.420148,1.6896644830703735,0.08855518698692322,1.6510297060012817,-0.08966448158025742,1.5114448070526123,-0.05102970451116562,-3.510904312133789,-176.2345428466797,-173.9351043701172,3.510904312133789,0.05856136232614517,-0.05071207135915756,45000,0.05102970451116562,-0.0016057341126725078,0.009137392044067383,-0.05379869043827057,-0.0028261609841138124,0.00591278076171875,13603.0029296875,0.0,69.10264587402344
