time_s,x,y,z,x_error,y_error,z_error,yaw,pitch,roll,roll_command,pitch_command,yaw_command,thrust_command,pitch_cmd_p,pitch_cmd_i,pitch_cmd_d,roll_cmd_p,roll_cmd_i,roll_cmd_d,thrust_cmd_p,thrust_cmd_i,thrust_cmd_d
20250902_175704.685507,1.0148407220840454,0.0919930636882782,0.9788984060287476,-0.01484072208404541,0.9080069363117218,0.02110159397125244,-1.683432698249817,-178.44476318359375,-179.28378295898438,0.4208581745624542,-0.053432878106832504,-0.07509512454271317,55000,-0.04220318794250488,-0.0068795583210885525,-0.004350130446255207,-0.02968144416809082,-0.004818009678274393,-0.04059566929936409,13620.1044921875,1607.5419921875,10.154269218444824
20250902_175704.686538,1.0147501230239868,0.0920059084892273,0.9789067506790161,-0.014750123023986816,0.9079940915107727,0.021093249320983887,-1.6873586177825928,-178.38063049316406,-179.0615692138672,0.4218396544456482,-0.046275679022073746,0.007218332029879093,55000,-0.04218649864196777,-0.007006295025348663,0.0029171165078878403,-0.029500246047973633,-0.004906889051198959,0.04162546619772911,13619.9111328125,1637.0875244140625,-12.829360008239746
20250902_175704.687451,1.0146985054016113,0.09169121086597443,0.9790312647819519,-0.014698505401611328,0.9083087891340256,0.020968735218048096,-1.8367868661880493,-178.7125244140625,-178.7350311279297,0.45919671654701233,-0.00542117515578866,-0.010610601864755154,55000,-0.04193747043609619,-0.007132282480597496,0.043648578226566315,-0.029397010803222656,-0.004995096009224653,0.02378150448203087,13624.6318359375,1666.5560302734375,315.19329833984375
20250902_175704.688658,1.0146795511245728,0.09164182096719742,0.9790323376655579,-0.014679551124572754,0.9083581790328026,0.02096766233444214,-1.8379186391830444,-178.71469116210938,-178.76187133789062,0.4594796597957611,-0.048815641552209854,-0.02568352036178112,55000,-0.04193532466888428,-0.007257525343447924,0.0003772081690840423,-0.029359102249145508,-0.005082833115011454,0.008758414536714554,13625.373046875,1695.9439697265625,49.61335372924805
20250902_175704.689850,1.0147300958633423,0.0918179377913475,0.9789549112319946,-0.014730095863342285,0.9081820622086525,0.02104508876800537,-1.702142596244812,-178.41065979003906,-179.29205322265625,0.425535649061203,-0.07610174268484116,-0.057477157562971115,55000,-0.04209017753601074,-0.007385804783552885,-0.02662575989961624,-0.02946019172668457,-0.005172631237655878,-0.022844335064291954,13622.73046875,1725.9876708984375,-173.0396270751953
20250902_175704.690770,1.014746904373169,0.09217008948326111,0.9789072275161743,-0.014746904373168945,0.9078299105167389,0.021092772483825684,-1.7272425889968872,-178.4647216796875,-179.26222229003906,0.4318106472492218,-0.0665706917643547,-0.0425715297460556,55000,-0.04218554496765137,-0.0075108325108885765,-0.016874315217137337,-0.02949380874633789,-0.005260092671960592,-0.007817629724740982,13617.4482421875,1755.17431640625,-356.05560302734375
20250902_175704.691632,1.0148195028305054,0.09211830794811249,0.9788568019866943,-0.014819502830505371,0.9078816920518875,0.021143198013305664,-1.6881277561187744,-178.37843322753906,-179.07821655273438,0.4220319390296936,-0.06756491959095001,-0.06836796551942825,55000,-0.04228639602661133,-0.007637597620487213,-0.017640922218561172,-0.029639005661010742,-0.005348832346498966,-0.03338012844324112,13618.2255859375,1784.6929931640625,51.758026123046875
20250902_175704.692500,1.0148248672485352,0.09192629903554916,0.9789038300514221,-0.014824867248535156,0.9080737009644508,0.02109616994857788,-1.6861375570297241,-178.44810485839844,-179.2935333251953,0.42153438925743103,-0.03357610106468201,-0.03754376620054245,55000,-0.04219233989715576,-0.007764924317598343,0.01638116128742695,-0.029649734497070312,-0.005438192281872034,-0.002455839654430747,13621.10546875,1814.343994140625,191.09130859375
20250902_175704.693442,1.0147169828414917,0.09167497605085373,0.9789846539497375,-0.0147169828414917,0.9083250239491463,0.02101534605026245,-1.8264037370681763,-178.69442749023438,-178.7615203857422,0.45660093426704407,-0.022019095718860626,0.013991566374897957,55000,-0.0420306921005249,-0.007892996072769165,0.02790459245443344,-0.0294339656829834,-0.005528036504983902,0.048953570425510406,13624.875,1844.266357421875,247.91343688964844
20250902_175704.694605,1.0146758556365967,0.0916474312543869,0.9790317416191101,-0.01467585563659668,0.9083525687456131,0.020968258380889893,-1.827941656112671,-178.72950744628906,-178.7482147216797,0.4569854140281677,-0.0333641916513443,-0.01592283882200718,55000,-0.041936516761779785,-0.008018113672733307,0.016590440645813942,-0.02935171127319336,-0.005615632049739361,0.019044505432248116,13625.2880859375,1873.5921630859375,27.728235244750977
20250902_175704.695742,1.0147472620010376,0.09156529605388641,0.9790531992912292,-0.014747262001037598,0.9084347039461136,0.020946800708770752,-1.8329163789749146,-178.82212829589844,-178.9669952392578,0.45822909474372864,-0.042445700615644455,-0.06839539110660553,55000,-0.041893601417541504,-0.008142529986798763,0.0075904312543570995,-0.029494524002075195,-0.005702968221157789,-0.03319789469242096,13626.5205078125,1902.8028564453125,83.01280975341797
20250902_175704.705018,1.014766812324524,0.09189657866954803,0.9789648056030273,-0.014766812324523926,0.908103421330452,0.021035194396972656,-1.6939681768417358,-178.46646118164062,-179.28253173828125,0.42349204421043396,-0.08125591278076172,-0.044312287122011185,55000,-0.04207038879394531,-0.008268560282886028,-0.030916962772607803,-0.02953362464904785,-0.00579157005995512,-0.008987094275653362,13621.5517578125,1932.3414306640625,-331.0595703125
20250902_175704.714949,1.0148499011993408,0.09202155470848083,0.9789371490478516,-0.01484990119934082,0.9079784452915192,0.021062850952148438,-1.686797857284546,-178.45326232910156,-179.2995147705078,0.4216994643211365,-0.06015129014849663,-0.0736052617430687,55000,-0.042125701904296875,-0.008395507000386715,-0.009630080312490463,-0.02969980239868164,-0.005880878772586584,-0.03802458569407463,13619.6767578125,1962.005126953125,-124.33417510986328
