time_s,x,y,z,x_error,y_error,z_error,yaw,pitch,roll,yaw_command,pitch_command,roll_command,thrust_command,pitch_cmd_p,pitch_cmd_i,pitch_cmd_d,roll_cmd_p,roll_cmd_i,roll_cmd_d,thrust_cmd_p,thrust_cmd_i,thrust_cmd_d
20250912_114140.338448,1.015170931816101,0.13456560671329498,2.981109380722046,-0.015170931816101074,0.8654344081878662,0.0188906192779541,5.504937648773193,-177.8948211669922,-179.51248168945312,-5.504937648773193,-0.7225412726402283,-0.40791094303131104,56000,-0.02266874350607395,-0.00036844194983132184,0.00049591064453125,-0.015170931816101074,-0.00044571151374839246,0.0077056884765625,25963.03125,134.9970703125,-1.1265277862548828
20250912_114140.339213,1.015184760093689,0.13458596169948578,2.981100082397461,-0.015184760093688965,0.865414023399353,0.018899917602539062,5.504555702209473,-177.91067504882812,-179.4971466064453,-5.504555702209473,-0.7254847884178162,-0.4200782775878906,56000,-0.022679900750517845,-0.0003873372043017298,-0.0024175643920898438,-0.015184760093688965,-0.0004684783052653074,-0.004425048828125,25962.421875,141.9204559326172,-24.425983428955078
20250912_114140.341030,1.015259861946106,0.1346593052148819,2.9810996055603027,-0.015259861946105957,0.8653407096862793,0.018900394439697266,5.496579647064209,-177.9093017578125,-179.480712890625,-5.496579647064209,-0.7232106924057007,-0.4397837519645691,56000,-0.02268047258257866,-0.00040623737731948495,-0.0001239776611328125,-0.015259861946105957,-0.0004913117736577988,-0.0240325927734375,25960.220703125,148.84347534179688,-88.01222229003906
20250912_114140.341732,1.0153464078903198,0.1347488909959793,2.9811007976531982,-0.015346407890319824,0.8652511239051819,0.018899202346801758,5.516138553619385,-177.89300537109375,-179.46820068359375,-5.516138553619385,-0.722794234752655,-0.44355538487434387,56000,-0.02267904207110405,-0.00042513717198744416,0.00030994415283203125,-0.015346407890319824,-0.0005142664886079729,-0.0276947021484375,25957.533203125,155.76585388183594,-107.50293731689453
20250912_114140.343180,1.0152931213378906,0.13469989597797394,2.981111526489258,-0.015293121337890625,0.8653001189231873,0.018888473510742188,5.5053606033325195,-177.8665771484375,-179.474853515625,-5.5053606033325195,-0.7203207015991211,-0.39877867698669434,56000,-0.022666167467832565,-0.00044403100037015975,0.0027894973754882812,-0.015293121337890625,-0.0005372461164370179,0.01705169677734375,25959.00390625,162.68804931640625,58.79402160644531
20250912_114140.346903,1.015207052230835,0.1345999836921692,2.9811172485351562,-0.015207052230834961,0.8654000163078308,0.01888275146484375,5.505859375,-177.9068145751953,-179.5091094970703,-5.505859375,-0.7216345071792603,-0.3882250487804413,56000,-0.0226593017578125,-0.00046291662147268653,0.00148773193359375,-0.015207052230834961,-0.0005601212615147233,0.0275421142578125,25962.0,169.61085510253906,119.89474487304688
20250912_114140.347626,1.0151734352111816,0.1345519870519638,2.9811081886291504,-0.01517343521118164,0.865447998046875,0.01889181137084961,5.503838062286377,-177.90841674804688,-179.49160766601562,-5.503838062286377,-0.7255075573921204,-0.40499889850616455,56000,-0.02267017401754856,-0.00048180390149354935,-0.0023555755615234375,-0.01517343521118164,-0.0005829065921716392,0.0107574462890625,25963.439453125,176.53424072265625,57.595970153808594
20250912_114140.348994,1.0152037143707275,0.1345902979373932,2.9811108112335205,-0.015203714370727539,0.8654097318649292,0.018889188766479492,5.511572360992432,-177.8819580078125,-179.4791259765625,-5.511572360992432,-0.7224858403205872,-0.42549872398376465,56000,-0.02266702614724636,-0.0005006943829357624,0.0006818771362304688,-0.015203714370727539,-0.0006056894781067967,-0.0096893310546875,25962.291015625,183.45767211914062,-45.973060607910156
20250912_114140.350585,1.0152250528335571,0.13462744653224945,2.981093645095825,-0.015225052833557129,0.8653725385665894,0.018906354904174805,5.491945743560791,-177.92652893066406,-179.49542236328125,-5.491945743560791,-0.727670431137085,-0.42268186807632446,56000,-0.022687625139951706,-0.0005195921403355896,-0.00446319580078125,-0.015225052833557129,-0.0006285110139288008,-0.00682830810546875,25961.17578125,190.3808135986328,-44.57831573486328
20250912_114140.352691,1.0152621269226074,0.13464678823947906,2.9810996055603027,-0.015262126922607422,0.8653532266616821,0.018900394439697266,5.503684997558594,-177.89450073242188,-179.49822998046875,-5.503684997558594,-0.7216692566871643,-0.4277772009372711,56000,-0.02268047258257866,-0.0005384955438785255,0.0015497207641601562,-0.015262126922607422,-0.0006513764383271337,-0.01186370849609375,25960.595703125,197.3037109375,-23.21004867553711
