time_s,roll_command,pitch_command,yaw_command,thrust_command
20250829_145231,0.0,-0.13400988280773163,2.290738344192505,55000
20250829_145231,0.0,-0.07588332891464233,2.2956297397613525,55000
20250829_145231,0.0,-0.07801921665668488,2.293038845062256,55000
20250829_145231,0.0,-0.13490810990333557,2.300898790359497,55000
20250829_145231,0.0,-0.07216758280992508,2.2980754375457764,55000
20250829_145231,0.0,-0.08406094461679459,2.2936768531799316,55000
20250829_145231,0.0,-0.08082529902458191,2.2946958541870117,55000
20250829_145231,0.0,-0.06909722834825516,2.2992610931396484,55000
20250829_145231,0.0,-0.08405077457427979,2.306870937347412,55000
20250829_145231,0.0,-0.018983254209160805,2.3129167556762695,55000
20250829_145231,0.0,-0.08910823613405228,2.295565605163574,55000
20250829_145231,0.0,-0.06596501171588898,2.3011982440948486,55000
20250829_145231,0.0,-0.09519272297620773,2.2964067459106445,55000
20250829_145231,0.0,-0.0790063664317131,2.299947738647461,55000
20250829_145231,0.0,-0.08920881897211075,2.290740489959717,55000
20250829_145231,0.0,-0.08809877932071686,2.3101956844329834,55000
20250829_145231,0.0,-0.06854426860809326,2.311100959777832,55000
20250829_145231,0.0,-0.07556486129760742,2.3057334423065186,55000
20250829_145231,0.0,-0.09469343721866608,2.289562940597534,55000
20250829_145231,0.0,-0.08443542569875717,2.2630960941314697,55000
20250829_145231,0.0,-0.09007558971643448,2.187110662460327,55000
20250829_145231,0.0,-0.09736975282430649,2.1250240802764893,55000
20250829_145231,0.0,-0.08545687049627304,2.0789883136749268,55000
20250829_145231,0.0,-0.08771946281194687,2.0466434955596924,55000
20250829_145231,0.0,-0.07380807399749756,2.034459114074707,55000
20250829_145231,0.0,-0.04427936300635338,1.994839072227478,55000
20250829_145231,0.0,-0.09854473173618317,1.9480407238006592,55000
20250829_145231,0.0,-0.06891585141420364,1.928558111190796,55000
20250829_145231,0.0,-0.0753265768289566,1.9067753553390503,55000
20250829_145231,0.0,-0.0075552696362137794,1.8895457983016968,53725
20250829_145231,0.0,-0.023363428190350533,1.821266770362854,55000
