time_s,x,y,z,x_error,y_error,z_error,yaw,pitch,roll,yaw_command,pitch_command,roll_command,thrust_command,pitch_cmd_p,pitch_cmd_i,pitch_cmd_d,roll_cmd_p,roll_cmd_i,roll_cmd_d,thrust_cmd_p,thrust_cmd_i,thrust_cmd_d
20251022_142136.817590,1.0028785467147827,0.0676582008600235,1.0065217018127441,-0.002878546714782715,0.9323418140411377,-0.006521701812744141,-2.528874635696411,-176.1645965576172,-177.21414184570312,2.528874635696411,0.04684935510158539,-0.02115856297314167,44000,0.042391061782836914,0.001537663978524506,0.0029206275939941406,-0.018710553646087646,-0.0007373563712462783,-0.001710653305053711,24240.88671875,191.11839294433594,27.322769165039062
20251022_142136.818319,1.0028483867645264,0.06772480905056,1.0065345764160156,-0.002848386764526367,0.9322751760482788,-0.006534576416015625,-2.53568959236145,-175.91473388671875,-177.24111938476562,2.53568959236145,0.04859359562397003,-0.008731680922210217,44000,0.04247474670410156,0.0016127375420182943,0.004506111145019531,-0.018514513969421387,-0.0007731497171334922,0.01055598258972168,24239.154296875,200.44146728515625,-106.57310485839844
20251022_142136.819409,1.0028769969940186,0.06775549054145813,1.006528615951538,-0.0028769969940185547,0.9322445392608643,-0.006528615951538086,-2.588752031326294,-175.69692993164062,-177.156982421875,2.588752031326294,0.04203769192099571,-0.02952299453318119,44000,0.04243600368499756,0.0016878509195521474,-0.002086162567138672,-0.018700480461120605,-0.0008089334005489945,-0.010013580322265625,24238.357421875,209.76406860351562,-49.09038543701172
20251022_142136.821116,1.0028705596923828,0.06777395308017731,1.0065914392471313,-0.0028705596923828125,0.9322260618209839,-0.006591439247131348,-2.5130832195281982,-176.28961181640625,-177.01805114746094,2.5130832195281982,0.06659580022096634,-0.017250437289476395,44000,0.04284435510635376,0.0017632911913096905,0.0219881534576416,-0.01865863800048828,-0.0008448556181974709,0.0022530555725097656,24237.876953125,219.08642578125,-29.540061950683594
20251022_142136.823186,1.0028774738311768,0.06773029267787933,1.0065040588378906,-0.002877473831176758,0.9322696924209595,-0.006504058837890625,-2.5129151344299316,-176.06663513183594,-177.04855346679688,2.5129151344299316,0.013531829230487347,-0.02200431004166603,44000,0.04227638244628906,0.0018385903676971793,-0.03058314323425293,-0.018703579902648926,-0.0008807808044366539,-0.0024199485778808594,24239.01171875,228.40890502929688,69.85664367675781
20251022_142136.826461,1.002884030342102,0.06775561720132828,1.0065172910690308,-0.0028840303421020508,0.9322443604469299,-0.006517291069030762,-2.48803973197937,-176.03854370117188,-177.01502990722656,2.48803973197937,0.04890713468194008,-0.021957766264677048,44000,0.04236239194869995,0.001913463114760816,0.0046312808990478516,-0.01874619722366333,-0.0009167902171611786,-0.002294778823852539,24238.353515625,237.73147583007812,-40.51923751831055
20251022_142136.827960,1.0028769969940186,0.06769242882728577,1.0065250396728516,-0.0028769969940185547,0.9323076009750366,-0.0065250396728515625,-2.5624828338623047,-175.97129821777344,-177.08114624023438,2.5624828338623047,0.04711322486400604,-0.017191605642437935,44000,0.042412757873535156,0.0019884565845131874,0.0027120113372802734,-0.018700480461120605,-0.0009527966612949967,0.002461671829223633,24239.99609375,247.05422973632812,101.10139465332031
20251022_142136.829089,1.002877950668335,0.06771902740001678,1.0065399408340454,-0.002877950668334961,0.932280957698822,-0.00653994083404541,-2.5151751041412354,-175.83412170410156,-177.21803283691406,2.5151751041412354,0.04978860169649124,-0.020029230043292046,44000,0.042509615421295166,0.0020635800901800394,0.00521540641784668,-0.018706679344177246,-0.0009887650376185775,-0.0003337860107421875,24239.3046875,256.3771667480469,-42.557716369628906
20251022_142136.830739,1.0028425455093384,0.06774339079856873,1.0065586566925049,-0.002842545509338379,0.9322565793991089,-0.006558656692504883,-2.555476427078247,-175.9057159423828,-177.1751251220703,2.555476427078247,0.05132071673870087,-0.007109258323907852,44000,0.04263126850128174,0.0021388970781117678,0.00655055046081543,-0.018476545810699463,-0.0010245181620121002,0.012391805648803711,24238.671875,265.6998596191406,-38.98143768310547
20251022_142136.832507,1.0028666257858276,0.06771457940340042,1.0065463781356812,-0.0028666257858276367,0.9322854280471802,-0.006546378135681152,-2.6065871715545654,-175.85723876953125,-177.10794067382812,2.6065871715545654,0.040468212217092514,-0.02812136523425579,44000,0.04255145788192749,0.002214251086115837,-0.004297494888305664,-0.01863306760787964,-0.0010602005058899522,-0.008428096771240234,24239.421875,275.0225830078125,46.09823226928711
20251022_142136.833348,1.002871036529541,0.06767234951257706,1.0065054893493652,-0.0028710365295410156,0.9323276281356812,-0.006505489349365234,-2.5471763610839844,-176.0607147216797,-177.13809204101562,2.5471763610839844,0.030263904482126236,-0.02130155824124813,44000,0.04228568077087402,0.0022892991546541452,-0.014311075210571289,-0.0186617374420166,-0.0010960608487948775,-0.0015437602996826172,24240.51953125,284.34564208984375,67.56782531738281
