time_s,x,y,z,x_error,y_error,z_error,yaw,pitch,roll,yaw_command,pitch_command,roll_command,thrust_command,pitch_cmd_p,pitch_cmd_i,pitch_cmd_d,roll_cmd_p,roll_cmd_i,roll_cmd_d,thrust_cmd_p,thrust_cmd_i,thrust_cmd_d
20251022_140503.219313,1.0004475116729736,0.06742134690284729,0.98764568567276,-0.0004475116729736328,0.9325786828994751,0.01235431432723999,0.5497642755508423,179.7746124267578,179.38748168945312,-0.5497642755508423,-0.08687329292297363,-0.004926571622490883,44000,-0.08030304312705994,-0.0024038823321461678,-0.004166364669799805,-0.0029088258743286133,-8.655548299429938e-05,-0.0019311904907226562,24247.044921875,181.8515167236328,-32.961368560791016
20251022_140503.219985,1.0004407167434692,0.06746311485767365,0.9876952171325684,-0.0004407167434692383,0.9325369000434875,0.01230478286743164,0.5906897783279419,-179.9150390625,179.4930419921875,-0.5906897783279419,-0.06764882802963257,-0.0009171765996143222,44000,-0.07998108863830566,-0.002527178032323718,0.014859437942504883,-0.002864658832550049,-9.099662565859035e-05,0.0020384788513183594,24245.958984375,191.17709350585938,-66.82872772216797
20251022_140503.221252,1.000426173210144,0.06740248203277588,0.9876534938812256,-0.00042617321014404297,0.9325975179672241,0.012346506118774414,0.5757362246513367,179.732177734375,179.43824768066406,-0.5757362246513367,-0.09541969746351242,0.0014976030215620995,44000,-0.08025228977203369,-0.002650434384122491,-0.012516975402832031,-0.0027701258659362793,-9.533107368042693e-05,0.004363059997558594,24247.53515625,200.5027618408203,97.01251983642578
20251022_140503.222534,1.000441312789917,0.0674399882555008,0.9876846671104431,-0.0004413127899169922,0.9325600266456604,0.012315332889556885,0.5999608635902405,-179.9242401123047,179.4505157470703,-0.5999608635902405,-0.07347144186496735,-0.007510075345635414,44000,-0.08004966378211975,-0.002773743588477373,0.009351968765258789,-0.0028685331344604492,-9.966850484488532e-05,-0.004541873931884766,24246.560546875,209.82855224609375,-60.00995635986328
20251022_140503.223438,1.000449538230896,0.06742298603057861,0.987653911113739,-0.0004495382308959961,0.9325770139694214,0.012346088886260986,0.593931257724762,179.69107055664062,179.362060546875,-0.593931257724762,-0.09237343072891235,-0.005493753589689732,44000,-0.08024957776069641,-0.0028970506973564625,-0.009226799011230469,-0.0029219985008239746,-0.00010412275878479704,-0.002467632293701172,24247.001953125,219.15423583984375,27.20355987548828
20251022_140503.225893,1.000452995300293,0.06746937334537506,0.987647533416748,-0.00045299530029296875,0.9325306415557861,0.012352466583251953,0.573248565196991,179.58224487304688,179.3892059326172,-0.573248565196991,-0.08522488176822662,-0.004090225789695978,44000,-0.0802910327911377,-0.003020543372258544,-0.001913309097290039,-0.002944469451904297,-0.00010863542411243543,-0.0010371208190917969,24245.796875,228.47976684570312,-74.2197036743164
20251022_140503.226550,1.0004525184631348,0.06745877116918564,0.9876986145973206,-0.0004525184631347656,0.9325412511825562,0.012301385402679443,0.6005216836929321,-179.96424865722656,179.46963500976562,-0.6005216836929321,-0.06777846068143845,-0.002911481773480773,44000,-0.07995900511741638,-0.0031438127625733614,0.01532435417175293,-0.0029413700103759766,-0.00011316299787722528,0.0001430511474609375,24246.072265625,237.8051300048828,16.963481903076172
20251022_140503.227814,1.000438928604126,0.06743288785219193,0.9876365661621094,-0.00043892860412597656,0.9325671195983887,0.012363433837890625,0.5843490362167358,179.69662475585938,179.44349670410156,-0.5843490362167358,-0.10224398970603943,0.0011063015554100275,44000,-0.08036231994628906,-0.0032671368680894375,-0.018614530563354492,-0.0028530359268188477,-0.0001176202276838012,0.004076957702636719,24246.744140625,247.13067626953125,41.413307189941406
20251022_140503.229158,1.0004607439041138,0.06739050894975662,0.9876784682273865,-0.00046074390411376953,0.932609498500824,0.012321531772613525,0.6153889298439026,-179.8639373779297,179.30825805664062,-0.6153889298439026,-0.07090989500284195,-0.009661544114351273,44000,-0.08008995652198792,-0.003390561556443572,0.012570619583129883,-0.002994835376739502,-0.00012211859575472772,-0.006544589996337891,24247.84765625,256.45654296875,67.80624389648438
20251022_140503.230805,1.000446081161499,0.06732933223247528,0.987637996673584,-0.00044608116149902344,0.9326706528663635,0.012362003326416016,0.5782204270362854,179.8463897705078,179.160888671875,-0.5782204270362854,-0.09600846469402313,0.0013726424658671021,44000,-0.0803530216217041,-0.003513979259878397,-0.01214146614074707,-0.0028995275497436523,-0.00012665271060541272,0.004398822784423828,24249.4375,265.782958984375,97.88275146484375
