Variable,Average Error,Std Dev,Max Error,RMSE
X_c (m),0.0006502969890621556,0.13993601149078322,0.43991100788116455,0.13993752248100794
Y_c (m),-0.05119784273577074,0.06673730345486754,0.4931616336107254,0.0841135350179969
Z_c (m),0.1936705788504993,0.1542837299048515,0.4654099941253662,0.24761212091826326
α (rad),-0.019900113049741926,0.04167182963347976,0.1317571833004407,0.04617960463661713
β (rad),0.010137899370097674,0.024348798548624557,0.1424953092973172,0.026375007002837517
P (m),0.5538245743950205,0.6242714394843106,3.1573568555521145,0.8345277043691474
φ₁ (rad),-0.019900113049741926,0.04167182963347976,0.1317571833004407,0.04617960463661713
φ₂ (rad),-0.019900113049741926,0.04167182963347976,0.1317571833004407,0.04617960463661713
