Variable,Average Error,Std Dev,Max Error,RMSE
X_c (m),0.052544570586702845,0.18809442160059642,0.9444668889045715,0.19529578422332602
Y_c (m),-0.45033895071209956,0.406963535191922,0.8529971614480019,0.6069798097996189
Z_c (m),0.10485871770494692,0.07952719164180291,0.2929152250289917,0.13160518564691057
α (rad),-0.010207857224618219,0.04388967819942592,0.1256046435733754,0.04506111629295654
β (rad),0.010318936860317264,0.012279235771664693,0.0931043891211747,0.016039329445564243
P (m),0.3467262875161966,0.2488114782562145,1.2449868704857074,0.4267625454123252
φ₁ (rad),-0.010207857224618219,0.04388967819942592,0.1256046435733754,0.04506111629295654
φ₂ (rad),-0.010207857224618219,0.04388967819942592,0.1256046435733754,0.04506111629295654
