Flight,Variable,Average Error,Std Dev,Max Error
cluster_data_20250911_162100.csv,X_c (m),0.0037074192906870976,0.15289040440648838,0.37076710164546967
cluster_data_20250911_162100.csv,Y_c (m),-0.00660814660968203,0.015057163061942037,0.0432567596435548
cluster_data_20250911_162100.csv,Z_c (m),0.30450717352255424,0.1011749608528967,0.4346044659614563
cluster_data_20250911_162100.csv,α (rad),-0.13152801964782238,0.027376541183114007,0.1741328712765605
cluster_data_20250911_162100.csv,β (rad),-0.0028935210120467148,0.0035120345937647616,0.0076004524272546
cluster_data_20250911_162100.csv,P (m),0.503511272218191,0.4003451853450799,1.8965472923775595
cluster_data_20250911_162100.csv,φ₁ (rad),-0.13152801964782238,0.027376541183114007,0.1741328712765605
cluster_data_20250911_162100.csv,φ₂ (rad),-0.13152801964782238,0.027376541183114007,0.1741328712765605
cluster_data_20250911_161312.csv,X_c (m),-0.02729889467684892,0.06664759678596135,0.1501970738172531
cluster_data_20250911_161312.csv,Y_c (m),0.0007746772174417578,0.015423076458246058,0.05802124738693237
cluster_data_20250911_161312.csv,Z_c (m),-0.00761349956049535,0.09798300441954351,0.19945868849754333
cluster_data_20250911_161312.csv,α (rad),-0.040050865455008966,0.07625851983638621,0.1698821826544877
cluster_data_20250911_161312.csv,β (rad),0.006544223926190803,0.005333186495852659,0.021374254611432
cluster_data_20250911_161312.csv,P (m),0.3924594150091046,0.34986892297619243,0.9739655883268936
cluster_data_20250911_161312.csv,φ₁ (rad),-0.040050865455008966,0.07625851983638621,0.1698821826544877
cluster_data_20250911_161312.csv,φ₂ (rad),-0.040050865455008966,0.07625851983638621,0.1698821826544877
cluster_data_20250911_154627.csv,X_c (m),0.1590532780583225,0.06953931897538085,0.2533014416694639
cluster_data_20250911_154627.csv,Y_c (m),-0.005613697108937738,0.011073064200511625,0.02422526478767395
cluster_data_20250911_154627.csv,Z_c (m),0.07950702465292234,0.1352892329135863,0.21602308750152588
cluster_data_20250911_154627.csv,α (rad),0.025265593769104873,0.031304508719423856,0.0695511700632857
cluster_data_20250911_154627.csv,β (rad),-0.002426229515070639,0.004381529525239259,0.0180877439862065
cluster_data_20250911_154627.csv,P (m),0.49029279790513575,0.23573570006912037,0.9229416262659411
cluster_data_20250911_154627.csv,φ₁ (rad),0.025265593769104873,0.031304508719423856,0.0695511700632857
cluster_data_20250911_154627.csv,φ₂ (rad),0.025265593769104873,0.031304508719423856,0.0695511700632857
cluster_data_20250911_141304.csv,X_c (m),0.1400063167447629,0.08546052109867384,0.24882954359054565
cluster_data_20250911_141304.csv,Y_c (m),-0.0035013964642649016,0.010079325225349767,0.04017370939254761
cluster_data_20250911_141304.csv,Z_c (m),0.10007788629635522,0.10722783639805258,0.21187672019004822
cluster_data_20250911_141304.csv,α (rad),0.02494416422103874,0.05195332342366573,0.1217662906757143
cluster_data_20250911_141304.csv,β (rad),-0.015682040619008804,0.00800050889462534,0.0414958602583619
cluster_data_20250911_141304.csv,P (m),0.45790357868368964,0.30103957734874237,0.956557330546552
cluster_data_20250911_141304.csv,φ₁ (rad),0.02494416422103874,0.05195332342366573,0.1217662906757143
cluster_data_20250911_141304.csv,φ₂ (rad),0.02494416422103874,0.05195332342366573,0.1217662906757143
cluster_data_20250911_162326.csv,X_c (m),-0.04789844353993734,0.09698701094211766,0.2141612470149994
cluster_data_20250911_162326.csv,Y_c (m),-0.006899752661033921,0.01259549311840041,0.02882099151611328
cluster_data_20250911_162326.csv,Z_c (m),0.05034757300659462,0.15298467514747002,0.26503443717956543
cluster_data_20250911_162326.csv,α (rad),-0.05580464453688855,0.05088750109344491,0.1800586997266703
cluster_data_20250911_162326.csv,β (rad),-0.0015879518285000088,0.004999238588761024,0.0180607281038986
cluster_data_20250911_162326.csv,P (m),0.47808946412859016,0.22098272299374191,0.8766854134601889
cluster_data_20250911_162326.csv,φ₁ (rad),-0.05580464453688855,0.05088750109344491,0.1800586997266703
cluster_data_20250911_162326.csv,φ₂ (rad),-0.05580464453688855,0.05088750109344491,0.1800586997266703
