Variable,Average Error,Std Dev,Max Error,RMSE
X_c (m),0.057527965360933596,0.12385816743549605,0.2533014416694639,0.1365661467533157
Y_c (m),-0.00439378135913127,0.01346772309563937,0.057505667209625244,0.014166329094464365
Z_c (m),0.05505179819223043,0.13118986997346074,0.26503443717956543,0.1422725640025216
α (rad),-0.011219028814103589,0.06647124904861153,0.1800586997266703,0.06741137558019586
β (rad),-0.0029771202539439446,0.010556422197839725,0.0567684625004499,0.010968194683970856
P (m),0.446550000712102,0.28848919915210336,0.9739655883268936,0.5316323176438771
φ₁ (rad),-0.011219028814103589,0.06647124904861153,0.1800586997266703,0.06741137558019586
φ₂ (rad),-0.011219028814103589,0.06647124904861153,0.1800586997266703,0.06741137558019586
